T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
201401;-2.558207205;-3.32;0.86;-2.09;1.72;-4.438207205;1.88
201402;5.565982781;4.65;0.32;-0.4;2.08;3.585982781;1.98
201403;-1.823164808;0.43;-1.89;5.08;-3.3;-3.863164808;2.04
201404;0.501557025;-0.19;-4.25;1.14;-3.85;-1.438442975;1.94
201405;-0.182649181;2.06;-1.85;-0.27;1.15;-2.382649181;2.2
201406;-2.280011622;2.61;3.07;-0.74;0.68;-4.640011622;2.36
201407;-2.503554127;-2.04;-4.24;0.01;-0.24;-4.823554127;2.32
201408;-2.514621575;4.24;0.36;-0.58;0.82;-4.684621575;2.17
201409;-5.143699136;-1.97;-3.83;-1.23;0.53;-7.313699136;2.17
201410;5.658851256;2.52;4.23;-1.68;0;3.588851256;2.07
201411;1.968580558;2.55;-2.09;-2.99;1.05;-0.291419442;2.26
201412;-3.504155435;-0.06;2.54;2.06;1.06;-5.744155435;2.24
201501;-7.832485462;-3.11;-0.56;-3.47;3.87;-9.922485462;2.09
201502;1.430996129;6.13;0.48;-1.79;-2.84;-0.349003871;1.78
201503;9.505282032;-1.12;3.02;-0.46;2.98;7.615282032;1.89
201504;3.372004219;0.59;-2.97;1.86;-7.37;1.562004219;1.81
201505;1.686109454;1.36;0.87;-1.37;6.01;-0.123890546;1.81
201506;1.118918805;-1.53;2.83;-0.79;3.04;-0.521081195;1.64
201507;5.648906592;1.54;-4.14;-4.12;10.28;4.148906592;1.5
201508;1.209485493;-6.04;0.48;2.68;-2.07;-0.350514507;1.56
201509;0.342252682;-3.08;-2.64;0.52;5.32;-1.287747318;1.63
201510;-3.918755293;7.75;-1.97;-0.08;-3.97;-5.678755293;1.76
201511;9.679516286;0.56;3.64;-0.52;2.28;7.539516286;2.14
201512;1.469322476;-2.17;-2.82;-2.58;3.44;-1.020677524;2.49
201601;0.240397458;-5.77;-3.36;2.1;1.37;-2.189602542;2.43
201602;1.530196551;-0.07;0.78;-0.48;-4.09;-0.889803449;2.42
201603;0.925672035;6.96;0.87;1.12;-5.14;-1.554327965;2.48
