T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
201302;4.65;0.32;-0.4;2.08;4.665047827;5.117585482;-0.452537655;0
201303;0.43;-1.89;5.08;-3.3;1.087636385;-1.068967703;2.156604088;0
201304;-0.19;-4.25;1.14;-3.85;1.176330913;-0.537360038;1.713690951;0
201305;2.06;-1.85;-0.27;1.15;0.956971253;1.532744391;-0.575773138;0
201306;2.61;3.07;-0.74;0.68;4.499399269;4.015622345;0.483776924;0
201307;-2.04;-4.24;0.01;-0.24;-3.056582219;-3.589039943;0.532457724;0
201308;4.24;0.36;-0.58;0.82;4.472985699;4.247034995;0.225950704;0
201309;-1.97;-3.83;-1.23;0.53;-5.020600882;-4.459545837;-0.561055045;0
201310;2.52;4.23;-1.68;0;2.792673662;2.147413378;0.645260284;0
201311;2.55;-2.09;-2.99;1.05;2.496931309;3.216275234;-0.719343925;0
201312;-0.06;2.54;2.06;1.06;0.043691622;0.129897744;-0.086206122;0
201401;-3.11;-0.56;-3.47;3.87;-1.714052435;-2.502450169;0.788397734;0
201402;6.13;0.48;-1.79;-2.84;4.006726556;6.769749356;-2.7630228;0
201403;-1.12;3.02;-0.46;2.98;-1.327435153;-1.002408654;-0.325026499;0
201404;0.59;-2.97;1.86;-7.37;-0.411729022;0.211293339;-0.623022361;0
201405;1.36;0.87;-1.37;6.01;0.665960513;1.739246924;-1.073286411;0
201406;-1.53;2.83;-0.79;3.04;-3.178604909;-1.450957533;-1.727647376;0
201407;1.54;-4.14;-4.12;10.28;-2.430470616;-0.701371071;-1.729099545;0
201408;-6.04;0.48;2.68;-2.07;-4.740207827;-5.492121945;0.751914118;0
201409;-3.08;-2.64;0.52;5.32;-4.941728432;-6.025805888;1.084077456;0
201410;7.75;-1.97;-0.08;-3.97;6.860838864;6.174333645;0.686505219;0
201411;0.56;3.64;-0.52;2.28;-0.142306468;-0.524997235;0.382690767;0
201412;-2.17;-2.82;-2.58;3.44;-4.722027596;-4.132620495;-0.589407101;0.01
201501;-5.77;-3.36;2.1;1.37;-5.398885376;-10.46944803;5.070562654;0.01
201502;-0.07;0.78;-0.48;-4.09;1.488934458;2.020159669;-0.531225211;0.02
201503;6.96;0.87;1.12;-5.14;11.30029283;8.351881365;2.948411465;0.02
201504;0.92;0.68;3.26;-6.23;4.194095193;3.177230006;1.016865187;0.01
201505;1.78;-0.26;-1.81;1.94;1.266297296;3.199997835;-1.933700539;0.01
201506;-0.05;0.65;-1.49;4.21;0.945628896;-0.96304173;1.908670626;0.02
201507;3.95;2.65;-1.13;-3.05;5.249562853;7.268495955;-2.018933102;0.02
201508;0.5;1.15;3.31;-3.09;-0.540755693;1.236244444;-1.777000137;0.02
201509;0.25;2.02;-1.48;-0.56;-0.373117584;1.460959547;-1.834077131;0.02
