Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
ITT Inc;2008;2007;Machinery, Tools, Heavy Vehicles, Trains & Ships;82.22806889;76.8924783;85.89817594;83.90417642
ITT Inc;2009;2008;Machinery, Tools, Heavy Vehicles, Trains & Ships;82.35768155;74.94785148;85.37608631;87.10459478
ITT Inc;2011;2010;Machinery, Tools, Heavy Vehicles, Trains & Ships;69.62090208;68.89255702;82.94409313;54.925507
ITT Inc;2015;2014;Machinery, Tools, Heavy Vehicles, Trains & Ships;68.8843439;79.85149942;75.47293565;48.98997358
ITT Inc;2016;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;64.79166687;67.15483714;76.14945874;48.93758817
ITT Inc;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;62.96360416;70.94522592;68.56756481;47.54341587
J C Penney Company Inc;2012;2011;Diversified Retail;62.42575355;79.70063025;67.97032193;36.71499992
Johnson & Johnson;2008;2007;Pharmaceuticals;70.25836703;93.25749168;80.91947914;32.21116315
Johnson & Johnson;2009;2008;Pharmaceuticals;79.31645355;91.17647059;86.27378305;57.99757562
Johnson & Johnson;2010;2009;Pharmaceuticals;79.31645355;91.17647059;86.27378305;57.99757562
Johnson & Johnson;2011;2010;Pharmaceuticals;83.74663462;88.09954751;81.86348862;81.08606557
Johnson & Johnson;2013;2012;Pharmaceuticals;74.76860781;85.67608862;92.65593561;41.78977225
Johnson & Johnson;2014;2013;Pharmaceuticals;82.50391853;87.05164993;92.99209894;65.22676209
Johnson & Johnson;2015;2014;Pharmaceuticals;83.38911411;83.48039216;95.86071987;68.77123025
Johnson & Johnson;2016;2015;Pharmaceuticals;83.38911411;83.48039216;95.86071987;68.77123025
Jones Lang LaSalle Inc;2009;2008;Real Estate Operations;79.14224164;86.48548027;81.51185595;68.1982606
Jones Lang LaSalle Inc;2010;2009;Real Estate Operations;69.38515625;71.65616246;79.37625755;55.22455601
Jones Lang LaSalle Inc;2011;2010;Real Estate Operations;83.20862678;87.05164993;86.03000115;75.64070623
Jones Lang LaSalle Inc;2012;2011;Real Estate Operations;77.23490757;86.12631099;83.30057867;60.26313577
Jones Lang LaSalle Inc;2013;2012;Real Estate Operations;77.42776991;91.21732026;75.34233177;64.48312539
Jones Lang LaSalle Inc;2014;2013;Real Estate Operations;79.90630068;91.93086325;75.53960124;71.58442207
Jones Lang LaSalle Inc;2015;2014;Real Estate Operations;81.30878247;92.35466116;75.73923071;75.47793695
Jones Lang LaSalle Inc;2016;2015;Real Estate Operations;78.28505481;93.09661689;70.69254908;70.61098409
Jones Lang LaSalle Inc;2017;2016;Real Estate Operations;77.67209056;89.37099592;77.53800028;64.78676016
JPMorgan Chase & Co;2008;2007;Banking Services;80.98324001;72.82319708;88.99896554;80.74990242
JPMorgan Chase & Co;2009;2008;Banking Services;78.82565748;82.30739198;86.63841456;65.85084276
JPMorgan Chase & Co;2010;2009;Banking Services;83.80636927;85.82734621;86.32942694;78.61680328
JPMorgan Chase & Co;2011;2010;Banking Services;68.6832196;90.85995325;84.53502472;25.51115319
JPMorgan Chase & Co;2012;2011;Banking Services;72.04164185;91.04364326;88.13039527;32.13282892
JPMorgan Chase & Co;2013;2012;Banking Services;72.02989974;81.63638067;84.12801651;47.23962114
JPMorgan Chase & Co;2014;2013;Banking Services;74.60903111;82.42166025;83.40353648;55.66364317
JPMorgan Chase & Co;2015;2014;Banking Services;73.76409469;81.68129939;78.77443767;59.10664763
JPMorgan Chase & Co;2016;2015;Banking Services;83.51566908;84.52189095;88.89799987;76.12929902
JPMorgan Chase & Co;2017;2016;Banking Services;84.59241756;88.63868464;90.7154734;72.95498926
Kellogg Co;2010;2009;Food & Tobacco;63.74612024;70.00726216;85.19387933;31.80270145
Kellogg Co;2012;2011;Food & Tobacco;62.95855769;68.88480392;88.40962441;26.72887768
Kellogg Co;2016;2015;Food & Tobacco;61.17062375;67.5245098;87.53423318;23.40209062
Kellogg Co;2017;2016;Food & Tobacco;71.08657423;66.77414281;90.35173608;53.47048972
KeyCorp;2015;2014;Banking Services;77.1211652;78.98595259;67.40592811;86.35028471
KeyCorp;2017;2016;Banking Services;82.14076152;84.58946078;74.55741393;88.2375833
Kilroy Realty Corp;2014;2013;Residential & Commercial REITs;58.60296493;71.57754011;67.26632522;34.05592078
Kilroy Realty Corp;2016;2015;Residential & Commercial REITs;66.24282756;75.67631331;69.65428937;51.75609282
Kilroy Realty Corp;2017;2016;Residential & Commercial REITs;68.1289559;78.91928865;73.14444808;50.26268424
Kimberly-Clark Corp;2009;2008;Personal & Household Products & Services;74.43705399;79.64705882;90.78873239;49.59689833
Kimberly-Clark Corp;2010;2009;Personal & Household Products & Services;73.91476935;87.60504202;83.85311871;47.08589481
Kimberly-Clark Corp;2011;2010;Personal & Household Products & Services;75.59336215;79.04411765;89.28257042;55.81327753
Kimberly-Clark Corp;2012;2011;Personal & Household Products & Services;79.33987179;76.47058824;93.82629108;65.67717528
Kimberly-Clark Corp;2013;2012;Personal & Household Products & Services;75.39146069;70.98039216;88.89671362;64.58948861
Kimberly-Clark Corp;2014;2013;Personal & Household Products & Services;77.04905846;70.68311195;93.84370741;64.59765332
Kimco Realty Corp;2015;2014;Residential & Commercial REITs;76.11717179;78.36134454;69.52893834;81.28374276
Kimco Realty Corp;2016;2015;Residential & Commercial REITs;81.58998953;86.81189053;73.02854561;85.7338133
Kimco Realty Corp;2017;2016;Residential & Commercial REITs;80.20350513;88.31737346;78.17556502;73.51892647
Kohls Corp;2010;2009;Diversified Retail;66.50654762;75.07002801;85.01006036;35.42349727
Kohls Corp;2011;2010;Diversified Retail;68.63031915;74.05462185;91.39839034;36.0830136
Kohls Corp;2012;2011;Diversified Retail;75.35242938;76.19641077;83.34924803;65.10382514
Kohls Corp;2013;2012;Diversified Retail;72.47969813;78.39922854;84.61094435;51.76090223
Kohls Corp;2014;2013;Diversified Retail;69.19031567;79.15900735;81.64612676;43.57992843
Kohls Corp;2016;2015;Diversified Retail;74.50973414;71.00556439;75.59002665;77.1586321
L Brands Inc;2013;2012;Specialty Retailers;62.58730622;72.76158251;72.30462421;39.93516908
L Brands Inc;2014;2013;Specialty Retailers;65.99732857;71.18644068;81.17689186;42.5447283
L Brands Inc;2015;2014;Specialty Retailers;66.41501419;73.31064657;75.22989175;48.46814027
L Brands Inc;2016;2015;Specialty Retailers;68.00526497;74.46147473;86.93215632;38.77851827
L Brands Inc;2017;2016;Specialty Retailers;75.77882899;72.70944742;88.06658131;64.89829672
Lockheed Martin Corp;2009;2008;Aerospace & Defense;74.53403756;74.17279412;73.32746479;76.34110675
Lockheed Martin Corp;2010;2009;Aerospace & Defense;74.75390625;69.77124183;81.24021909;72.75870902
Lockheed Martin Corp;2016;2015;Aerospace & Defense;85.16649357;93.84803922;83.52112676;77.40380406
Lockheed Martin Corp;2017;2016;Aerospace & Defense;84.7237059;96.33520075;78.28079589;79.27886921
Marathon Oil Corp;2008;2007;Oil & Gas;88.65489897;88.95768834;87.1386212;90.08221116
Marathon Oil Corp;2009;2008;Oil & Gas;92.41474555;91.92563818;94.90211711;90.06484261
Marathon Oil Corp;2010;2009;Oil & Gas;87.8499053;88.05147059;84.93517926;91.01775956
Marathon Oil Corp;2011;2010;Oil & Gas;87.37185652;91.98127012;83.26326116;87.01562941
Marathon Oil Corp;2012;2011;Oil & Gas;80.66224942;73.79679144;79.09731114;90.13703237
Marathon Oil Corp;2013;2012;Oil & Gas;80.11335444;70.49312262;86.3324224;83.59896
Marathon Oil Corp;2014;2013;Oil & Gas;79.56374116;71.38537658;86.72502304;80.3453441
Marathon Petroleum Corp;2012;2011;Oil & Gas;71.90932789;68.70915033;78.54246692;67.75620008
Marathon Petroleum Corp;2013;2012;Oil & Gas;68.18503005;68.52502195;78.51587135;55.78160085
