T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
201401;-1.247592185;-3.32;0.86;-2.09;1.72;-3.127592185;1.88
201402;4.196921855;4.65;0.32;-0.4;2.08;2.216921855;1.98
201403;-0.882265635;0.43;-1.89;5.08;-3.3;-2.922265635;2.04
201404;-1.154738337;-0.19;-4.25;1.14;-3.85;-3.094738337;1.94
201405;0.797342641;2.06;-1.85;-0.27;1.15;-1.402657359;2.2
201406;-3.642117578;2.61;3.07;-0.74;0.68;-6.002117578;2.36
201407;-2.014334856;-2.04;-4.24;0.01;-0.24;-4.334334856;2.32
201408;-5.031434662;4.24;0.36;-0.58;0.82;-7.201434662;2.17
201409;-3.429322807;-1.97;-3.83;-1.23;0.53;-5.599322807;2.17
201410;6.220989419;2.52;4.23;-1.68;0;4.150989419;2.07
201411;-1.319078539;2.55;-2.09;-2.99;1.05;-3.579078539;2.26
201412;-3.224015088;-0.06;2.54;2.06;1.06;-5.464015088;2.24
201501;-6.281390793;-3.11;-0.56;-3.47;3.87;-8.371390793;2.09
201502;1.930979108;6.13;0.48;-1.79;-2.84;0.150979108;1.78
201503;9.805992128;-1.12;3.02;-0.46;2.98;7.915992128;1.89
201504;4.072587709;0.59;-2.97;1.86;-7.37;2.262587709;1.81
201505;0.288560878;1.36;0.87;-1.37;6.01;-1.521439122;1.81
201506;1.334585491;-1.53;2.83;-0.79;3.04;-0.305414509;1.64
201507;6.590014738;1.54;-4.14;-4.12;10.28;5.090014738;1.5
201508;-0.069120512;-6.04;0.48;2.68;-2.07;-1.629120512;1.56
201509;-1.199675677;-3.08;-2.64;0.52;5.32;-2.829675677;1.63
201510;-1.865248151;7.75;-1.97;-0.08;-3.97;-3.625248151;1.76
201511;8.544242206;0.56;3.64;-0.52;2.28;6.404242206;2.14
201512;1.548677258;-2.17;-2.82;-2.58;3.44;-0.941322742;2.49
201601;1.907811107;-5.77;-3.36;2.1;1.37;-0.522188893;2.43
201602;2.949411022;-0.07;0.78;-0.48;-4.09;0.529411022;2.42
201603;-0.806496767;6.96;0.87;1.12;-5.14;-3.286496767;2.48
201604;1.0498744;0.92;0.68;3.26;-6.23;-1.2501256;2.3
201605;0.84622239;1.78;-0.26;-1.81;1.94;-1.45377761;2.3
201606;1.924570428;-0.05;0.65;-1.49;4.21;-0.265429572;2.19
201607;2.54741187;3.95;2.65;-1.13;-3.05;0.22741187;2.32
201608;-0.392434107;0.5;1.15;3.31;-3.09;-2.602434107;2.21
201609;4.76796247;0.25;2.02;-1.48;-0.56;2.56796247;2.2
201610;1.933159133;-2.02;-4.37;4.18;0.65;-0.426840867;2.36
201611;3.878301913;4.86;5.49;8.27;-4.22;1.528301913;2.35
201612;2.946805431;1.82;0.07;3.6;-0.36;0.546805431;2.4
2007;-38.09516932;1.4;-7.04;-14.49;21.2;-82.09516932;44
2008;35.03719445;-44.19;5.88;2.4;18.88;-7.74280555;42.78
2009;16.14077933;27.41;8.19;-2.68;-63.85;-25.76922067;41.91
2010;0.154279681;17.9;12.7;-3.5;5.99;-41.06572032;41.22
2011;18.11654496;1.68;-4.89;-8.48;8.24;-22.35345504;40.47
2012;25.07260737;15.7;-0.67;8.2;-0.39;-14.80739263;39.88
2013;10.93016272;30.86;5.53;1.4;5.8;-28.56983728;39.5
2014;-10.72964577;11.48;-6.77;-1.69;1.7;-49.77964577;39.05
2015;24.70020438;0.88;-3.78;-10.12;20.97;-14.04979562;38.75
2016;23.55259929;13.13;6.37;19.45;-18.57;-14.90740071;38.46
