T-1;DMR;MRP;SMB;HML;MOM
201510;-1.471120222;7.75;-1.97;-0.08;-3.97
201511;7.935402763;0.56;3.64;-0.52;2.28
201512;2.008600689;-2.17;-2.82;-2.58;3.44
201601;1.662361861;-5.77;-3.36;2.1;1.37
201602;2.863838377;-0.07;0.78;-0.48;-4.09
201603;-0.468874174;6.96;0.87;1.12;-5.14
201604;0.79812865;0.92;0.68;3.26;-6.23
201605;0.210107704;1.78;-0.26;-1.81;1.94
201606;2.396460149;-0.05;0.65;-1.49;4.21
201607;2.099042116;3.95;2.65;-1.13;-3.05
201608;0.282276207;0.5;1.15;3.31;-3.09
201609;5.01815073;0.25;2.02;-1.48;-0.56
201610;1.128414615;-2.02;-4.37;4.18;0.65
201611;3.21089376;4.86;5.49;8.27;-4.22
201612;2.37694093;1.82;0.07;3.6;-0.36
2007;-38.32100419;1.4;-7.04;-14.49;21.2
2008;46.21780788;-44.19;5.88;2.4;18.88
2009;19.22109321;27.41;8.19;-2.68;-63.85
2010;-1.644910169;17.9;12.7;-3.5;5.99
2011;18.75317173;1.68;-4.89;-8.48;8.24
2012;30.56761476;15.7;-0.67;8.2;-0.39
2013;16.02396557;30.86;5.53;1.4;5.8
2014;-8.908092431;11.48;-6.77;-1.69;1.7
2015;29.77206372;0.88;-3.78;-10.12;20.97
2016;21.57774093;13.13;6.37;19.45;-18.57
