T-1;DMR;MRP;SMB;HML;MOM
201102;4.272675839;3.49;1.52;1.08;2.03
201103;2.54853041;0.45;2.6;-1.57;3.51
201104;-1.472501732;2.9;-0.35;-2.53;0.07
201105;-7.356369864;-1.27;-0.71;-2.07;-0.56
201106;3.89465441;-1.75;-0.17;-0.33;1.78
201107;-0.56162352;-2.36;-1.3;-1.23;0.08
201108;3.957581059;-5.99;-3.06;-2.44;-0.31
201109;3.623560258;-7.59;-3.49;-1.46;-2.55
201110;-1.021892947;11.35;3.41;-0.17;-1.42
201111;2.03038644;-0.28;-0.17;-0.34;3.99
201112;2.856308844;0.74;-0.71;1.75;1.94
201201;7.591517883;5.05;2.15;-1.11;-7.97
201202;1.168760914;4.42;-1.75;0.09;-0.3
201203;4.454643695;3.11;-0.6;0.87;1.5
201204;1.611855293;-0.85;-0.51;-0.46;3.83
201205;3.068132555;-6.19;0.02;-0.62;6.6
201206;-2.983418755;3.89;0.77;0.44;-1.12
201207;5.859406978;0.79;-2.59;-0.26;3.07
201208;-3.061430256;2.55;0.42;1.32;-2.49
201209;4.034662609;2.73;0.51;1.54;-1.02
201210;4.739927296;-1.76;-1.14;3.79;0.1
201211;2.388220815;0.78;0.58;-0.96;0.38
201212;2.672682866;1.18;1.47;3.56;-2.97
201301;-2.711814795;5.57;0.39;0.95;-1.88
201302;5.127042474;1.29;-0.45;0.03;1.31
201303;1.188853751;4.03;0.78;-0.29;1.94
201304;0.882590279;1.55;-2.42;0.63;0.25
201305;2.068714585;2.8;1.67;2.6;-1.8
201306;2.912734297;-1.2;1.22;-0.18;0.59
201307;-2.39987966;5.65;1.86;0.56;1.74
201308;4.272103608;-2.71;0.3;-2.78;0.05
201309;-2.702197515;3.77;2.93;-1.19;2.97
201310;2.045018312;4.18;-1.49;1.14;0.16
201311;4.326585609;3.12;1.24;0.24;0.4
201312;0.257843339;2.81;-0.5;-0.31;0.07
201401;-2.665749391;-3.32;0.86;-2.09;1.72
201402;4.962177357;4.65;0.32;-0.4;2.08
201403;-0.994039607;0.43;-1.89;5.08;-3.3
201404;-0.740059826;-0.19;-4.25;1.14;-3.85
201405;0.907558413;2.06;-1.85;-0.27;1.15
201406;-2.67244687;2.61;3.07;-0.74;0.68
201407;0.260860739;-2.04;-4.24;0.01;-0.24
201408;-5.429878014;4.24;0.36;-0.58;0.82
201409;-4.43236907;-1.97;-3.83;-1.23;0.53
201410;8.078733421;2.52;4.23;-1.68;0
201411;0.527517965;2.55;-2.09;-2.99;1.05
