T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
201401;-2.502450169;-3.32;0.86;-2.09;1.72;-4.382450169;1.88
201402;6.769749356;4.65;0.32;-0.4;2.08;4.789749356;1.98
201403;-1.002408654;0.43;-1.89;5.08;-3.3;-3.042408654;2.04
201404;0.211293339;-0.19;-4.25;1.14;-3.85;-1.728706661;1.94
201405;1.739246924;2.06;-1.85;-0.27;1.15;-0.460753076;2.2
201406;-1.450957533;2.61;3.07;-0.74;0.68;-3.810957533;2.36
201407;-0.701371071;-2.04;-4.24;0.01;-0.24;-3.021371071;2.32
201408;-5.492121945;4.24;0.36;-0.58;0.82;-7.662121945;2.17
201409;-6.025805888;-1.97;-3.83;-1.23;0.53;-8.195805888;2.17
201410;6.174333645;2.52;4.23;-1.68;0;4.104333645;2.07
201411;-0.524997235;2.55;-2.09;-2.99;1.05;-2.784997235;2.26
201412;-4.122620495;-0.06;2.54;2.06;1.06;-6.362620495;2.24
201501;-10.45944803;-3.11;-0.56;-3.47;3.87;-12.54944803;2.09
201502;2.040159669;6.13;0.48;-1.79;-2.84;0.260159669;1.78
201503;8.371881365;-1.12;3.02;-0.46;2.98;6.481881365;1.89
201504;3.187230006;0.59;-2.97;1.86;-7.37;1.377230006;1.81
201505;3.209997835;1.36;0.87;-1.37;6.01;1.399997835;1.81
201506;-0.94304173;-1.53;2.83;-0.79;3.04;-2.58304173;1.64
201507;7.288495955;1.54;-4.14;-4.12;10.28;5.788495955;1.5
201508;1.256244444;-6.04;0.48;2.68;-2.07;-0.303755556;1.56
201509;1.480959547;-3.08;-2.64;0.52;5.32;-0.149040453;1.63
201510;-3.639614929;7.75;-1.97;-0.08;-3.97;-5.399614929;1.76
201511;7.856833591;0.56;3.64;-0.52;2.28;5.716833591;2.14
201512;0.517793052;-2.17;-2.82;-2.58;3.44;-1.972206948;2.49
201601;1.208049237;-5.77;-3.36;2.1;1.37;-1.221950763;2.43
201602;1.571436704;-0.07;0.78;-0.48;-4.09;-0.848563296;2.42
201603;0.566117124;6.96;0.87;1.12;-5.14;-1.913882876;2.48
201604;1.696115239;0.92;0.68;3.26;-6.23;-0.603884761;2.3
201605;-0.422739953;1.78;-0.26;-1.81;1.94;-2.722739953;2.3
201606;4.296431177;-0.05;0.65;-1.49;4.21;2.106431177;2.19
201607;0.828276967;3.95;2.65;-1.13;-3.05;-1.491723033;2.32
201608;-0.551435864;0.5;1.15;3.31;-3.09;-2.761435864;2.21
201609;6.323795601;0.25;2.02;-1.48;-0.56;4.123795601;2.2
201610;0.222675558;-2.02;-4.37;4.18;0.65;-2.137324442;2.36
201611;3.189511293;4.86;5.49;8.27;-4.22;0.839511293;2.35
201612;0.586092267;1.82;0.07;3.6;-0.36;-1.813907733;2.4
2007;-48.76786239;1.4;-7.04;-14.49;21.2;-92.76786239;44
2008;61.46673812;-44.19;5.88;2.4;18.88;18.68673812;42.78
2009;26.2290942;27.41;8.19;-2.68;-63.85;-15.6809058;41.91
2010;-2.192795996;17.9;12.7;-3.5;5.99;-43.412796;41.22
2011;21.16749997;1.68;-4.89;-8.48;8.24;-19.30250003;40.47
2012;38.90624878;15.7;-0.67;8.2;-0.39;-0.97375122;39.88
2013;8.429350929;30.86;5.53;1.4;5.8;-31.07064907;39.5
2014;-6.928109727;11.48;-6.77;-1.69;1.7;-45.97810973;39.05
2015;20.16749077;0.88;-3.78;-10.12;20.97;-18.58250923;38.75
2016;19.51432535;13.13;6.37;19.45;-18.57;-18.94567465;38.46
