T-1;DMR;MRP;SMB;HML;MOM;DMRR
201411;1.305539357;2.55;-2.09;-2.99;1.05;0.013055394
201412;-4.537672689;-0.06;2.54;2.06;1.06;-0.045376727
201501;-7.995165891;-3.11;-0.56;-3.47;3.87;-0.079951659
201502;2.344849365;6.13;0.48;-1.79;-2.84;0.023448494
201503;11.10398524;-1.12;3.02;-0.46;2.98;0.111039852
201504;3.871048743;0.59;-2.97;1.86;-7.37;0.038710487
201505;2.440066698;1.36;0.87;-1.37;6.01;0.024400667
201506;1.173390015;-1.53;2.83;-0.79;3.04;0.0117339
201507;5.826678079;1.54;-4.14;-4.12;10.28;0.058266781
201508;0.596001229;-6.04;0.48;2.68;-2.07;0.005960012
201509;-0.656664245;-3.08;-2.64;0.52;5.32;-0.006566642
201510;-3.608451708;7.75;-1.97;-0.08;-3.97;-0.036084517
201511;10.21810323;0.56;3.64;-0.52;2.28;0.102181032
201512;2.286911193;-2.17;-2.82;-2.58;3.44;0.022869112
201601;0.887010495;-5.77;-3.36;2.1;1.37;0.008870105
201602;0.268378293;-0.07;0.78;-0.48;-4.09;0.002683783
201603;0.417475126;6.96;0.87;1.12;-5.14;0.004174751
201604;4.26145479;0.92;0.68;3.26;-6.23;0.042614548
201605;-0.487972491;1.78;-0.26;-1.81;1.94;-0.004879725
201606;2.643680168;-0.05;0.65;-1.49;4.21;0.026436802
201607;1.205038391;3.95;2.65;-1.13;-3.05;0.012050384
201608;-1.209644322;0.5;1.15;3.31;-3.09;-0.012096443
201609;6.986132875;0.25;2.02;-1.48;-0.56;0.069861329
201610;1.621620458;-2.02;-4.37;4.18;0.65;0.016216205
201611;3.611643256;4.86;5.49;8.27;-4.22;0.036116433
201612;-0.307024774;1.82;0.07;3.6;-0.36;-0.003070248
2007;-40.11458175;1.4;-7.04;-14.49;21.2;-0.401145818
2008;33.12767387;-44.19;5.88;2.4;18.88;0.331276739
2009;29.57139983;27.41;8.19;-2.68;-63.85;0.295713998
2010;-2.258672026;17.9;12.7;-3.5;5.99;-0.02258672
2011;21.64636122;1.68;-4.89;-8.48;8.24;0.216463612
2012;29.35599437;15.7;-0.67;8.2;-0.39;0.293559944
2013;7.565379583;30.86;5.53;1.4;5.8;0.075653796
2014;-7.419558289;11.48;-6.77;-1.69;1.7;-0.074195583
2015;27.60075195;0.88;-3.78;-10.12;20.97;0.27600752
2016;19.89779226;13.13;6.37;19.45;-18.57;0.198977923
