T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
201302;4.65;0.32;-0.4;2.08;4.4419279;5.149248952;-0.707321052;0
201303;0.43;-1.89;5.08;-3.3;1.355016601;-0.858341972;2.213358573;0
201304;-0.19;-4.25;1.14;-3.85;1.008505746;-0.775801628;1.784307374;0
201305;2.06;-1.85;-0.27;1.15;2.226775022;1.798894008;0.427881014;0
201306;2.61;3.07;-0.74;0.68;2.64476631;4.181316632;-1.536550322;0
201307;-2.04;-4.24;0.01;-0.24;-2.499890102;-4.259417592;1.75952749;0
201308;4.24;0.36;-0.58;0.82;4.524883146;5.160522352;-0.635639206;0
201309;-1.97;-3.83;-1.23;0.53;-2.755892429;-5.150124676;2.394232247;0
201310;2.52;4.23;-1.68;0;2.307323416;1.748970517;0.558352899;0
201311;2.55;-2.09;-2.99;1.05;4.809361435;2.170388522;2.638972913;0
201312;-0.06;2.54;2.06;1.06;0.998957218;-0.378574303;1.377531521;0
201401;-3.11;-0.56;-3.47;3.87;-2.327292192;-2.784983811;0.457691619;0
201402;6.13;0.48;-1.79;-2.84;4.879761748;6.910434651;-2.030672903;0
201403;-1.12;3.02;-0.46;2.98;-0.819862999;-1.014777405;0.194914406;0
201404;0.59;-2.97;1.86;-7.37;-0.27836014;-1.017136803;0.738776663;0
201405;1.36;0.87;-1.37;6.01;1.044702393;0.668503814;0.376198579;0
201406;-1.53;2.83;-0.79;3.04;-2.27134405;-0.846867687;-1.424476363;0
201407;1.54;-4.14;-4.12;10.28;-0.136612371;-0.815066375;0.678454004;0
201408;-6.04;0.48;2.68;-2.07;-5.037856188;-5.728340752;0.690484564;0
201409;-3.08;-2.64;0.52;5.32;-4.360144916;-5.504007628;1.143862712;0
201410;7.75;-1.97;-0.08;-3.97;8.491011008;5.423593506;3.067417502;0
201411;0.56;3.64;-0.52;2.28;-0.392897364;0.183529775;-0.576427139;0
201412;-2.17;-2.82;-2.58;3.44;-2.697165951;-3.952087104;1.254921153;0.01
201501;-5.77;-3.36;2.1;1.37;-5.424836026;-8.655465687;3.230629661;0.01
201502;-0.07;0.78;-0.48;-4.09;1.072952493;1.888106731;-0.815154238;0.02
201503;6.96;0.87;1.12;-5.14;9.943027088;9.215797442;0.727229646;0.02
201504;0.92;0.68;3.26;-6.23;3.381768823;2.842965944;0.538802879;0.01
201505;1.78;-0.26;-1.81;1.94;1.092128681;2.322003883;-1.229875202;0.01
201506;-0.05;0.65;-1.49;4.21;0.933230874;0.183041608;0.750189266;0.02
201507;3.95;2.65;-1.13;-3.05;4.763639311;6.342822984;-1.579183673;0.02
201508;0.5;1.15;3.31;-3.09;0.064614018;3.257998919;-3.193384901;0.02
201509;0.25;2.02;-1.48;-0.56;-0.175872557;0.989723915;-1.165596472;0.02
201510;-2.02;-4.37;4.18;0.65;-2.502248249;-3.443379827;0.941131578;0.02
201511;4.86;5.49;8.27;-4.22;6.22545642;10.54432749;-4.31887107;0.01
201512;1.82;0.07;3.6;-0.36;1.719654395;1.590212075;0.12944232;0.03
201601;1.94;-1.02;-2.78;-0.97;1.998861026;-0.068619655;2.067480681;0.04
201602;3.57;-2;-1.8;-1.66;2.464718122;0.285810304;2.178907818;0.04
201603;0.17;1.19;-3.18;-0.92;-0.745241308;0.718702124;-1.463943432;0.03
201604;1.09;0.73;-1.9;0.53;0.711884363;3.072866572;-2.360982209;0.05
201605;1.06;-2.55;-3.78;1.47;0.47991664;-0.383250286;0.863166926;0.06
201606;0.78;2.16;1.32;-0.25;1.493364108;3.18556816;-1.692204052;0.06
201607;1.87;-1.4;-0.28;1.63;1.640126091;1.720911759;-0.080785668;0.07
201608;0.16;-1.69;-2.24;3.57;-0.542001247;-0.803691442;0.261690195;0.09
201609;2.51;4.54;3.03;-1.2;4.760894448;7.076538622;-2.315644174;0.09
201610;2.25;-1.94;-0.06;4.3;0.623241658;1.672861788;-1.04962013;0.09
201611;3.12;-0.66;-0.05;-0.75;3.864828009;4.361799703;-0.496971694;0.08
201612;1.06;-1.26;0.14;-1.6;1.772867052;-0.725940771;2.498807823;0.09
2007;-44.19;5.88;2.4;18.88;-30.49536579;-40.82646559;10.3310998;1.58
2008;27.41;8.19;-2.68;-63.85;35.77568313;41.28775109;-5.51206796;0.09
2009;17.9;12.7;-3.5;5.99;18.01899054;26.29304726;-8.27405672;0.1
2010;1.68;-4.89;-8.48;8.24;0.264983325;-2.175062789;2.440046114;0.04
2011;-15.7;0.67;-8.2;0.39;19.35347476;19.86820289;-0.51472813;-0.06
2012;30.86;5.53;1.4;5.8;29.01093107;34.78853629;-5.77760522;0
2013;11.48;-6.77;-1.69;1.7;16.17174954;6.400455051;9.771294489;0
2014;0.88;-3.78;-10.12;20.97;-3.906061022;-8.47720582;4.571144798;0.01
2015;13.13;6.37;19.45;-18.57;21.09351527;27.07815548;-5.98464021;0.21
2016;19.58;-3.9;-11.58;4.15;18.52345896;20.11355688;-1.59009792;0.79
