T-1;DMR;MRP;SMB;HML;MOM;DMRR
201411;0.681104289;2.55;-2.09;-2.99;1.05;0.006811043
201412;-3.366291362;-0.06;2.54;2.06;1.06;-0.033662914
201501;-4.360930132;-3.11;-0.56;-3.47;3.87;-0.043609301
201502;1.414097402;6.13;0.48;-1.79;-2.84;0.014140974
201503;10.61377579;-1.12;3.02;-0.46;2.98;0.106137758
201504;4.697882227;0.59;-2.97;1.86;-7.37;0.046978822
201505;1.175075231;1.36;0.87;-1.37;6.01;0.011750752
201506;2.291168551;-1.53;2.83;-0.79;3.04;0.022911686
201507;6.766833518;1.54;-4.14;-4.12;10.28;0.067668335
201508;-0.824851328;-6.04;0.48;2.68;-2.07;-0.008248513
201509;-0.473870775;-3.08;-2.64;0.52;5.32;-0.004738708
201510;-1.471120222;7.75;-1.97;-0.08;-3.97;-0.014711202
201511;7.935402763;0.56;3.64;-0.52;2.28;0.079354028
201512;2.008600689;-2.17;-2.82;-2.58;3.44;0.020086007
201601;1.662361861;-5.77;-3.36;2.1;1.37;0.016623619
201602;2.863838377;-0.07;0.78;-0.48;-4.09;0.028638384
201603;-0.468874174;6.96;0.87;1.12;-5.14;-0.004688742
201604;0.79812865;0.92;0.68;3.26;-6.23;0.007981287
201605;0.210107704;1.78;-0.26;-1.81;1.94;0.002101077
201606;2.396460149;-0.05;0.65;-1.49;4.21;0.023964601
201607;2.099042116;3.95;2.65;-1.13;-3.05;0.020990421
201608;0.282276207;0.5;1.15;3.31;-3.09;0.002822762
201609;5.01815073;0.25;2.02;-1.48;-0.56;0.050181507
201610;1.128414615;-2.02;-4.37;4.18;0.65;0.011284146
201611;3.21089376;4.86;5.49;8.27;-4.22;0.032108938
201612;2.37694093;1.82;0.07;3.6;-0.36;0.023769409
2007;-38.32100419;1.4;-7.04;-14.49;21.2;-0.383210042
2008;46.21780788;-44.19;5.88;2.4;18.88;0.462178079
2009;19.22109321;27.41;8.19;-2.68;-63.85;0.192210932
2010;-1.644910169;17.9;12.7;-3.5;5.99;-0.016449102
2011;18.75317173;1.68;-4.89;-8.48;8.24;0.187531717
2012;30.56761476;15.7;-0.67;8.2;-0.39;0.305676148
2013;16.02396557;30.86;5.53;1.4;5.8;0.160239656
2014;-8.908092431;11.48;-6.77;-1.69;1.7;-0.089080924
2015;29.77206372;0.88;-3.78;-10.12;20.97;0.297720637
2016;21.57774093;13.13;6.37;19.45;-18.57;0.215777409
