T-1;DMR;MRP;SMB;HML;MOM;DMRR
201411;0.470942819;2.55;-2.09;-2.99;1.05;0.004709428
201412;-3.756235766;-0.06;2.54;2.06;1.06;-0.037562358
201501;-9.23850364;-3.11;-0.56;-3.47;3.87;-0.092385036
201502;1.880278507;6.13;0.48;-1.79;-2.84;0.018802785
201503;8.977619386;-1.12;3.02;-0.46;2.98;0.089776194
201504;2.63364379;0.59;-2.97;1.86;-7.37;0.026336438
201505;2.456490873;1.36;0.87;-1.37;6.01;0.024564909
201506;-1.294586138;-1.53;2.83;-0.79;3.04;-0.012945861
201507;5.353976774;1.54;-4.14;-4.12;10.28;0.053539768
201508;1.854971649;-6.04;0.48;2.68;-2.07;0.018549716
201509;-0.457902688;-3.08;-2.64;0.52;5.32;-0.004579027
201510;-1.973082591;7.75;-1.97;-0.08;-3.97;-0.019730826
201511;10.68975439;0.56;3.64;-0.52;2.28;0.106897544
201512;0.874088964;-2.17;-2.82;-2.58;3.44;0.00874089
201601;0.74447037;-5.77;-3.36;2.1;1.37;0.007444704
201602;-0.85686604;-0.07;0.78;-0.48;-4.09;-0.00856866
201603;0.604910733;6.96;0.87;1.12;-5.14;0.006049107
201604;3.268937563;0.92;0.68;3.26;-6.23;0.032689376
201605;1.776364961;1.78;-0.26;-1.81;1.94;0.01776365
201606;3.915113661;-0.05;0.65;-1.49;4.21;0.039151137
201607;2.097532805;3.95;2.65;-1.13;-3.05;0.020975328
201608;-1.150165856;0.5;1.15;3.31;-3.09;-0.011501659
201609;5.507040501;0.25;2.02;-1.48;-0.56;0.055070405
201610;-0.124463229;-2.02;-4.37;4.18;0.65;-0.001244632
201611;4.521860896;4.86;5.49;8.27;-4.22;0.045218609
201612;0.445373013;1.82;0.07;3.6;-0.36;0.00445373
2007;-38.8467946;1.4;-7.04;-14.49;21.2;-0.388467946
2008;39.07752475;-44.19;5.88;2.4;18.88;0.390775248
2009;24.12069411;27.41;8.19;-2.68;-63.85;0.241206941
2010;-0.291216534;17.9;12.7;-3.5;5.99;-0.002912165
2011;20.03174409;1.68;-4.89;-8.48;8.24;0.200317441
2012;36.91546392;15.7;-0.67;8.2;-0.39;0.369154639
2013;2.895377517;30.86;5.53;1.4;5.8;0.028953775
2014;-0.703439837;11.48;-6.77;-1.69;1.7;-0.007034398
2015;21.75674928;0.88;-3.78;-10.12;20.97;0.217567493
2016;20.75010938;13.13;6.37;19.45;-18.57;0.207501094
