T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
201302;4.65;0.32;-0.4;2.08;4.247056689;4.639004794;-0.391948105;0
201303;0.43;-1.89;5.08;-3.3;1.536317686;-0.884152982;2.420470668;0
201304;-0.19;-4.25;1.14;-3.85;1.023273281;0.059091854;0.964181427;0
201305;2.06;-1.85;-0.27;1.15;2.21688867;3.307658551;-1.090769881;0
201306;2.61;3.07;-0.74;0.68;3.412682473;4.43351429;-1.020831817;0
201307;-2.04;-4.24;0.01;-0.24;-1.693651414;-4.471742016;2.778090602;0
201308;4.24;0.36;-0.58;0.82;4.75686052;5.617688253;-0.860827733;0
201309;-1.97;-3.83;-1.23;0.53;-2.796270243;-5.324568923;2.52829868;0
201310;2.52;4.23;-1.68;0;1.667118926;2.953987756;-1.28686883;0
201311;2.55;-2.09;-2.99;1.05;4.141821;-0.575845886;4.717666886;0
201312;-0.06;2.54;2.06;1.06;0.674522552;-0.338593956;1.013116508;0
201401;-3.11;-0.56;-3.47;3.87;-2.859335133;-1.981106913;-0.87822822;0
201402;6.13;0.48;-1.79;-2.84;5.382632703;4.657471784;0.725160919;0
201403;-1.12;3.02;-0.46;2.98;-0.647600448;-2.634716605;1.987116157;0
201404;0.59;-2.97;1.86;-7.37;-0.602530659;-0.284565072;-0.317965587;0
201405;1.36;0.87;-1.37;6.01;1.573067588;-0.879306489;2.452374077;0
201406;-1.53;2.83;-0.79;3.04;-2.285760169;-1.073924609;-1.21183556;0
201407;1.54;-4.14;-4.12;10.28;-0.066206611;-1.590583325;1.524376714;0
201408;-6.04;0.48;2.68;-2.07;-6.136807955;-2.545727607;-3.591080348;0
201409;-3.08;-2.64;0.52;5.32;-3.621281486;-4.140398822;0.519117336;0
201410;7.75;-1.97;-0.08;-3.97;7.437280676;6.285432702;1.151847974;0
201411;0.56;3.64;-0.52;2.28;0.928603936;1.305539357;-0.376935421;0
201412;-2.17;-2.82;-2.58;3.44;-2.222684095;-4.547672689;2.324988594;0.01
201501;-5.77;-3.36;2.1;1.37;-6.149272069;-8.005165891;1.855893822;0.01
201502;-0.07;0.78;-0.48;-4.09;0.258743602;2.324849365;-2.066105763;0.02
201503;6.96;0.87;1.12;-5.14;9.143231027;11.08398524;-1.940754213;0.02
201504;0.92;0.68;3.26;-6.23;3.485141313;3.861048743;-0.37590743;0.01
201505;1.78;-0.26;-1.81;1.94;1.233150786;2.430066698;-1.196915912;0.01
