T-1;DMR;MRP;SMB;HML;MOM
201609;4.76796247;0.25;2.02;-1.48;-0.56
201610;1.933159133;-2.02;-4.37;4.18;0.65
201611;3.878301913;4.86;5.49;8.27;-4.22
201612;2.946805431;1.82;0.07;3.6;-0.36
2007;-38.09516932;1.4;-7.04;-14.49;21.2
2008;35.03719445;-44.19;5.88;2.4;18.88
2009;16.14077933;27.41;8.19;-2.68;-63.85
2010;0.154279681;17.9;12.7;-3.5;5.99
2011;18.11654496;1.68;-4.89;-8.48;8.24
2012;25.07260737;15.7;-0.67;8.2;-0.39
2013;10.93016272;30.86;5.53;1.4;5.8
2014;-10.72964577;11.48;-6.77;-1.69;1.7
2015;24.70020438;0.88;-3.78;-10.12;20.97
2016;23.55259929;13.13;6.37;19.45;-18.57
