T-1;DMR;MRP;SMB;HML;MOM;DMRR
201411;-0.392897364;2.55;-2.09;-2.99;1.05;-0.003928974
201412;-2.687165951;-0.06;2.54;2.06;1.06;-0.02687166
201501;-5.414836026;-3.11;-0.56;-3.47;3.87;-0.05414836
201502;1.092952493;6.13;0.48;-1.79;-2.84;0.010929525
201503;9.963027088;-1.12;3.02;-0.46;2.98;0.099630271
201504;3.391768823;0.59;-2.97;1.86;-7.37;0.033917688
201505;1.102128681;1.36;0.87;-1.37;6.01;0.011021287
201506;0.953230874;-1.53;2.83;-0.79;3.04;0.009532309
201507;4.783639311;1.54;-4.14;-4.12;10.28;0.047836393
201508;0.084614018;-6.04;0.48;2.68;-2.07;0.00084614
201509;-0.155872557;-3.08;-2.64;0.52;5.32;-0.001558726
201510;-2.482248249;7.75;-1.97;-0.08;-3.97;-0.024822482
201511;6.23545642;0.56;3.64;-0.52;2.28;0.062354564
201512;1.749654395;-2.17;-2.82;-2.58;3.44;0.017496544
201601;2.038861026;-5.77;-3.36;2.1;1.37;0.02038861
201602;2.504718122;-0.07;0.78;-0.48;-4.09;0.025047181
201603;-0.715241308;6.96;0.87;1.12;-5.14;-0.007152413
201604;0.761884363;0.92;0.68;3.26;-6.23;0.007618844
201605;0.53991664;1.78;-0.26;-1.81;1.94;0.005399166
201606;1.553364108;-0.05;0.65;-1.49;4.21;0.015533641
201607;1.710126091;3.95;2.65;-1.13;-3.05;0.017101261
201608;-0.452001247;0.5;1.15;3.31;-3.09;-0.004520012
201609;4.850894448;0.25;2.02;-1.48;-0.56;0.048508944
201610;0.713241658;-2.02;-4.37;4.18;0.65;0.007132417
201611;3.944828009;4.86;5.49;8.27;-4.22;0.03944828
201612;1.862867052;1.82;0.07;3.6;-0.36;0.018628671
2007;-28.91536579;1.4;-7.04;-14.49;21.2;-0.289153658
2008;35.86568313;-44.19;5.88;2.4;18.88;0.358656831
2009;18.11899054;27.41;8.19;-2.68;-63.85;0.181189905
2010;0.304983325;17.9;12.7;-3.5;5.99;0.003049833
2011;19.29347476;1.68;-4.89;-8.48;8.24;0.192934748
2012;29.01093107;15.7;-0.67;8.2;-0.39;0.290109311
2013;16.17174954;30.86;5.53;1.4;5.8;0.161717495
2014;-3.896061022;11.48;-6.77;-1.69;1.7;-0.03896061
2015;21.30351527;0.88;-3.78;-10.12;20.97;0.213035153
2016;19.31345896;13.13;6.37;19.45;-18.57;0.19313459
