T-1;DMR;MRP;SMB;HML;MOM;DMRR
201411;-1.319078539;2.55;-2.09;-2.99;1.05;-0.013190785
201412;-3.224015088;-0.06;2.54;2.06;1.06;-0.032240151
201501;-6.281390793;-3.11;-0.56;-3.47;3.87;-0.062813908
201502;1.930979108;6.13;0.48;-1.79;-2.84;0.019309791
201503;9.805992128;-1.12;3.02;-0.46;2.98;0.098059921
201504;4.072587709;0.59;-2.97;1.86;-7.37;0.040725877
201505;0.288560878;1.36;0.87;-1.37;6.01;0.002885609
201506;1.334585491;-1.53;2.83;-0.79;3.04;0.013345855
201507;6.590014738;1.54;-4.14;-4.12;10.28;0.065900147
201508;-0.069120512;-6.04;0.48;2.68;-2.07;-0.000691205
201509;-1.199675677;-3.08;-2.64;0.52;5.32;-0.011996757
201510;-1.865248151;7.75;-1.97;-0.08;-3.97;-0.018652482
201511;8.544242206;0.56;3.64;-0.52;2.28;0.085442422
201512;1.548677258;-2.17;-2.82;-2.58;3.44;0.015486773
201601;1.907811107;-5.77;-3.36;2.1;1.37;0.019078111
201602;2.949411022;-0.07;0.78;-0.48;-4.09;0.02949411
201603;-0.806496767;6.96;0.87;1.12;-5.14;-0.008064968
201604;1.0498744;0.92;0.68;3.26;-6.23;0.010498744
201605;0.84622239;1.78;-0.26;-1.81;1.94;0.008462224
201606;1.924570428;-0.05;0.65;-1.49;4.21;0.019245704
201607;2.54741187;3.95;2.65;-1.13;-3.05;0.025474119
201608;-0.392434107;0.5;1.15;3.31;-3.09;-0.003924341
201609;4.76796247;0.25;2.02;-1.48;-0.56;0.047679625
201610;1.933159133;-2.02;-4.37;4.18;0.65;0.019331591
201611;3.878301913;4.86;5.49;8.27;-4.22;0.038783019
201612;2.946805431;1.82;0.07;3.6;-0.36;0.029468054
2007;-38.09516932;1.4;-7.04;-14.49;21.2;-0.380951693
2008;35.03719445;-44.19;5.88;2.4;18.88;0.350371945
2009;16.14077933;27.41;8.19;-2.68;-63.85;0.161407793
2010;0.154279681;17.9;12.7;-3.5;5.99;0.001542797
2011;18.11654496;1.68;-4.89;-8.48;8.24;0.18116545
2012;25.07260737;15.7;-0.67;8.2;-0.39;0.250726074
2013;10.93016272;30.86;5.53;1.4;5.8;0.109301627
2014;-10.72964577;11.48;-6.77;-1.69;1.7;-0.107296458
2015;24.70020438;0.88;-3.78;-10.12;20.97;0.247002044
2016;23.55259929;13.13;6.37;19.45;-18.57;0.235525993
