T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
201302;4.65;0.32;-0.4;2.08;5.127042474;4.963944202;0.163098272;0
201303;0.43;-1.89;5.08;-3.3;1.188853751;0.282808307;0.906045444;0
201304;-0.19;-4.25;1.14;-3.85;0.882590279;-0.642077465;1.524667744;0
201305;2.06;-1.85;-0.27;1.15;2.068714585;1.525906838;0.542807747;0
201306;2.61;3.07;-0.74;0.68;2.912734297;4.024162184;-1.111427887;0
201307;-2.04;-4.24;0.01;-0.24;-2.39987966;-4.796669646;2.396789986;0
201308;4.24;0.36;-0.58;0.82;4.272103608;4.837870911;-0.565767303;0
201309;-1.97;-3.83;-1.23;0.53;-2.702197515;-4.632791539;1.930594024;0
201310;2.52;4.23;-1.68;0;2.045018312;2.0272022;0.017816112;0
201311;2.55;-2.09;-2.99;1.05;4.326585609;0.670606396;3.655979213;0
201312;-0.06;2.54;2.06;1.06;0.257843339;-0.302912043;0.560755382;0
201401;-3.11;-0.56;-3.47;3.87;-2.665749391;-2.915080612;0.249331221;0
201402;6.13;0.48;-1.79;-2.84;4.962177357;5.497197028;-0.535019671;0
201403;-1.12;3.02;-0.46;2.98;-0.994039607;-0.945587289;-0.048452318;0
201404;0.59;-2.97;1.86;-7.37;-0.740059826;0.289220899;-1.029280725;0
201405;1.36;0.87;-1.37;6.01;0.907558413;0.039471431;0.868086982;0
201406;-1.53;2.83;-0.79;3.04;-2.67244687;-0.095877249;-2.576569621;0
201407;1.54;-4.14;-4.12;10.28;0.260860739;-0.602346693;0.863207432;0
201408;-6.04;0.48;2.68;-2.07;-5.429878014;-4.008277512;-1.421600502;0
201409;-3.08;-2.64;0.52;5.32;-4.43236907;-4.432215052;-0.000154018;0
201410;7.75;-1.97;-0.08;-3.97;8.078733421;5.911696873;2.167036548;0
201411;0.56;3.64;-0.52;2.28;0.527517965;0.250481246;0.277036719;0
201412;-2.17;-2.82;-2.58;3.44;-2.645130567;-5.642658656;2.997528089;0.01
201501;-5.77;-3.36;2.1;1.37;-6.261166837;-8.082460772;1.821293935;0.01
201502;-0.07;0.78;-0.48;-4.09;0.66633991;2.466686759;-1.800346849;0.02
201503;6.96;0.87;1.12;-5.14;9.87684444;9.725670446;0.151173994;0.02
201504;0.92;0.68;3.26;-6.23;3.595020532;3.395779509;0.199241023;0.01
201505;1.78;-0.26;-1.81;1.94;1.462850497;1.833352242;-0.370501745;0.01
201506;-0.05;0.65;-1.49;4.21;0.748435339;0.235820562;0.512614777;0.02
201507;3.95;2.65;-1.13;-3.05;4.986386712;5.048549471;-0.062162759;0.02
201508;0.5;1.15;3.31;-3.09;0.197224111;1.584314458;-1.387090347;0.02
201509;0.25;2.02;-1.48;-0.56;-0.260305599;-0.709046005;0.448740406;0.02
201510;-2.02;-4.37;4.18;0.65;-2.331623372;-2.825928483;0.494305111;0.02
201511;4.86;5.49;8.27;-4.22;6.891293449;11.26676641;-4.375472961;0.01
201512;1.82;0.07;3.6;-0.36;2.240210733;2.748485404;-0.508274671;0.03
201601;1.94;-1.02;-2.78;-0.97;1.605208186;0.857268509;0.747939677;0.04
201602;3.57;-2;-1.8;-1.66;2.849862593;0.118149131;2.731713462;0.04
201603;0.17;1.19;-3.18;-0.92;-0.318421128;0.192668145;-0.511089273;0.03
201604;1.09;0.73;-1.9;0.53;0.167962653;3.207479436;-3.039516783;0.05
201605;1.06;-2.55;-3.78;1.47;-0.341642455;-1.364182768;1.022540313;0.06
201606;0.78;2.16;1.32;-0.25;2.397921972;3.370893852;-0.97297188;0.06
201607;1.87;-1.4;-0.28;1.63;1.229368616;1.607305913;-0.377937297;0.07
201608;0.16;-1.69;-2.24;3.57;-0.163738898;-1.024242967;0.860504069;0.09
201609;2.51;4.54;3.03;-1.2;5.147640769;6.832945135;-1.685304366;0.09
201610;2.25;-1.94;-0.06;4.3;0.168797618;1.4658572;-1.297059582;0.09
201611;3.12;-0.66;-0.05;-0.75;3.447609815;4.366095226;-0.918485411;0.08
201612;1.06;-1.26;0.14;-1.6;1.216260115;-0.785506695;2.00176681;0.09
2007;-44.19;5.88;2.4;18.88;-44.45906689;-33.82580661;-10.63326028;1.58
2008;27.41;8.19;-2.68;-63.85;41.90623617;31.92428606;9.98195011;0.09
2009;17.9;12.7;-3.5;5.99;18.59380468;25.9135386;-7.31973392;0.1
2010;1.68;-4.89;-8.48;8.24;-1.338382262;1.520896886;-2.859279148;0.04
2011;-15.7;0.67;-8.2;0.39;19.54974288;19.7799626;-0.23021972;-0.06
2012;30.86;5.53;1.4;5.8;31.54496189;30.11059228;1.43436961;0
2013;11.48;-6.77;-1.69;1.7;15.26759428;5.207235665;10.06035862;0
2014;0.88;-3.78;-10.12;20.97;-4.842825451;-6.653975586;1.811150135;0.01
2015;13.13;6.37;19.45;-18.57;21.81150991;26.68799;-4.87648009;0.21
2016;19.58;-3.9;-11.58;4.15;17.40682985;18.84473012;-1.43790027;0.79
