T-1;DMR;MRP;SMB;HML;MOM
201208;-1.851023918;2.55;0.42;1.32;-2.49
201209;6.285093388;2.73;0.51;1.54;-1.02
201210;3.955353627;-1.76;-1.14;3.79;0.1
201211;1.758113098;0.78;0.58;-0.96;0.38
201212;1.89150521;1.18;1.47;3.56;-2.97
201301;-2.661450661;5.57;0.39;0.95;-1.88
201302;2.391877562;1.29;-0.45;0.03;1.31
201303;-0.043988489;4.03;0.78;-0.29;1.94
201304;-0.723886071;1.55;-2.42;0.63;0.25
201305;1.239992124;2.8;1.67;2.6;-1.8
201306;2.997897714;-1.2;1.22;-0.18;0.59
201307;-5.412375418;5.65;1.86;0.56;1.74
201308;4.937948632;-2.71;0.3;-2.78;0.05
201309;-3.549621752;3.77;2.93;-1.19;2.97
201310;1.188822193;4.18;-1.49;1.14;0.16
201311;1.679507279;3.12;1.24;0.24;0.4
201312;0.850654404;2.81;-0.5;-0.31;0.07
201401;-3.130061333;-3.32;0.86;-2.09;1.72
201402;6.871476944;4.65;0.32;-0.4;2.08
201403;-2.565081065;0.43;-1.89;5.08;-3.3
201404;2.018927407;-0.19;-4.25;1.14;-3.85
201405;1.783944604;2.06;-1.85;-0.27;1.15
201406;0.829340098;2.61;3.07;-0.74;0.68
201407;0.390424358;-2.04;-4.24;0.01;-0.24
201408;-4.965226896;4.24;0.36;-0.58;0.82
201409;-4.257130548;-1.97;-3.83;-1.23;0.53
201410;5.605239541;2.52;4.23;-1.68;0
201411;0.470942819;2.55;-2.09;-2.99;1.05
201412;-3.756235766;-0.06;2.54;2.06;1.06
201501;-9.23850364;-3.11;-0.56;-3.47;3.87
201502;1.880278507;6.13;0.48;-1.79;-2.84
201503;8.977619386;-1.12;3.02;-0.46;2.98
201504;2.63364379;0.59;-2.97;1.86;-7.37
201505;2.456490873;1.36;0.87;-1.37;6.01
201506;-1.294586138;-1.53;2.83;-0.79;3.04
201507;5.353976774;1.54;-4.14;-4.12;10.28
201508;1.854971649;-6.04;0.48;2.68;-2.07
201509;-0.457902688;-3.08;-2.64;0.52;5.32
201510;-1.973082591;7.75;-1.97;-0.08;-3.97
201511;10.68975439;0.56;3.64;-0.52;2.28
201512;0.874088964;-2.17;-2.82;-2.58;3.44
201601;0.74447037;-5.77;-3.36;2.1;1.37
201602;-0.85686604;-0.07;0.78;-0.48;-4.09
