T-1;DMR;MRP;SMB;HML;MOM
201610;1.247068077;-2.02;-4.37;4.18;0.65
201611;3.812456053;4.86;5.49;8.27;-4.22
201612;1.639652216;1.82;0.07;3.6;-0.36
2007;-46.95292038;1.4;-7.04;-14.49;21.2
2008;41.5588286;-44.19;5.88;2.4;18.88
2009;19.09776284;27.41;8.19;-2.68;-63.85
2010;-2.456788469;17.9;12.7;-3.5;5.99
2011;19.09736656;1.68;-4.89;-8.48;8.24
2012;30.68889436;15.7;-0.67;8.2;-0.39
2013;16.21227936;30.86;5.53;1.4;5.8
2014;-3.110621654;11.48;-6.77;-1.69;1.7
2015;22.32189379;0.88;-3.78;-10.12;20.97
2016;21.52901862;13.13;6.37;19.45;-18.57
