T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
201401;-2.665749391;-3.32;0.86;-2.09;1.72;-4.545749391;1.88
201402;4.962177357;4.65;0.32;-0.4;2.08;2.982177357;1.98
201403;-0.994039607;0.43;-1.89;5.08;-3.3;-3.034039607;2.04
201404;-0.740059826;-0.19;-4.25;1.14;-3.85;-2.680059826;1.94
201405;0.907558413;2.06;-1.85;-0.27;1.15;-1.292441587;2.2
201406;-2.67244687;2.61;3.07;-0.74;0.68;-5.03244687;2.36
201407;0.260860739;-2.04;-4.24;0.01;-0.24;-2.059139261;2.32
201408;-5.429878014;4.24;0.36;-0.58;0.82;-7.599878014;2.17
201409;-4.43236907;-1.97;-3.83;-1.23;0.53;-6.60236907;2.17
201410;8.078733421;2.52;4.23;-1.68;0;6.008733421;2.07
201411;0.527517965;2.55;-2.09;-2.99;1.05;-1.732482035;2.26
201412;-2.635130567;-0.06;2.54;2.06;1.06;-4.875130567;2.24
201501;-6.251166837;-3.11;-0.56;-3.47;3.87;-8.341166837;2.09
201502;0.68633991;6.13;0.48;-1.79;-2.84;-1.09366009;1.78
201503;9.89684444;-1.12;3.02;-0.46;2.98;8.00684444;1.89
201504;3.605020532;0.59;-2.97;1.86;-7.37;1.795020532;1.81
201505;1.472850497;1.36;0.87;-1.37;6.01;-0.337149503;1.81
201506;0.768435339;-1.53;2.83;-0.79;3.04;-0.871564661;1.64
201507;5.006386712;1.54;-4.14;-4.12;10.28;3.506386712;1.5
201508;0.217224111;-6.04;0.48;2.68;-2.07;-1.342775889;1.56
201509;-0.240305599;-3.08;-2.64;0.52;5.32;-1.870305599;1.63
201510;-2.311623372;7.75;-1.97;-0.08;-3.97;-4.071623372;1.76
201511;6.901293449;0.56;3.64;-0.52;2.28;4.761293449;2.14
201512;2.270210733;-2.17;-2.82;-2.58;3.44;-0.219789267;2.49
201601;1.645208186;-5.77;-3.36;2.1;1.37;-0.784791814;2.43
201602;2.889862593;-0.07;0.78;-0.48;-4.09;0.469862593;2.42
201603;-0.288421128;6.96;0.87;1.12;-5.14;-2.768421128;2.48
201604;0.217962653;0.92;0.68;3.26;-6.23;-2.082037347;2.3
201605;-0.281642455;1.78;-0.26;-1.81;1.94;-2.581642455;2.3
201606;2.457921972;-0.05;0.65;-1.49;4.21;0.267921972;2.19
201607;1.299368616;3.95;2.65;-1.13;-3.05;-1.020631384;2.32
201608;-0.073738898;0.5;1.15;3.31;-3.09;-2.283738898;2.21
201609;5.237640769;0.25;2.02;-1.48;-0.56;3.037640769;2.2
201610;0.258797618;-2.02;-4.37;4.18;0.65;-2.101202382;2.36
201611;3.527609815;4.86;5.49;8.27;-4.22;1.177609815;2.35
201612;1.306260115;1.82;0.07;3.6;-0.36;-1.093739885;2.4
2007;-42.87906689;1.4;-7.04;-14.49;21.2;-86.87906689;44
2008;41.99623617;-44.19;5.88;2.4;18.88;-0.78376383;42.78
2009;18.69380468;27.41;8.19;-2.68;-63.85;-23.21619532;41.91
2010;-1.298382262;17.9;12.7;-3.5;5.99;-42.51838226;41.22
2011;19.48974288;1.68;-4.89;-8.48;8.24;-20.98025712;40.47
2012;31.54496189;15.7;-0.67;8.2;-0.39;-8.33503811;39.88
2013;15.26759428;30.86;5.53;1.4;5.8;-24.23240572;39.5
2014;-4.832825451;11.48;-6.77;-1.69;1.7;-43.88282545;39.05
2015;22.02150991;0.88;-3.78;-10.12;20.97;-16.72849009;38.75
2016;18.19682985;13.13;6.37;19.45;-18.57;-20.26317015;38.46
