T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
201302;4.65;0.32;-0.4;2.08;5.262385531;2.391877562;2.870507969;0
201303;0.43;-1.89;5.08;-3.3;1.231237289;-0.043988489;1.275225778;0
201304;-0.19;-4.25;1.14;-3.85;1.230238356;-0.723886071;1.954124427;0
201305;2.06;-1.85;-0.27;1.15;2.471216104;1.239992124;1.23122398;0
201306;2.61;3.07;-0.74;0.68;3.395639134;2.997897714;0.39774142;0
201307;-2.04;-4.24;0.01;-0.24;-1.56045215;-5.412375418;3.851923268;0
201308;4.24;0.36;-0.58;0.82;4.425394373;4.937948632;-0.512554259;0
201309;-1.97;-3.83;-1.23;0.53;-3.56174807;-3.549621752;-0.012126318;0
201310;2.52;4.23;-1.68;0;2.638609532;1.188822193;1.449787339;0
201311;2.55;-2.09;-2.99;1.05;3.114824085;1.679507279;1.435316806;0
201312;-0.06;2.54;2.06;1.06;0.207044459;0.850654404;-0.643609945;0
201401;-3.11;-0.56;-3.47;3.87;-1.731075499;-3.130061333;1.398985834;0
201402;6.13;0.48;-1.79;-2.84;4.276363202;6.871476944;-2.595113742;0
201403;-1.12;3.02;-0.46;2.98;-0.825970536;-2.565081065;1.739110529;0
201404;0.59;-2.97;1.86;-7.37;-1.357934737;2.018927407;-3.376862144;0
201405;1.36;0.87;-1.37;6.01;1.078175442;1.783944604;-0.705769162;0
201406;-1.53;2.83;-0.79;3.04;-3.925949798;0.829340098;-4.755289896;0
201407;1.54;-4.14;-4.12;10.28;-1.849766568;0.390424358;-2.240190926;0
201408;-6.04;0.48;2.68;-2.07;-5.767127966;-4.965226896;-0.80190107;0
201409;-3.08;-2.64;0.52;5.32;-3.669852088;-4.257130548;0.58727846;0
201410;7.75;-1.97;-0.08;-3.97;7.55023319;5.605239541;1.944993649;0
201411;0.56;3.64;-0.52;2.28;0.681104289;0.470942819;0.21016147;0
201412;-2.17;-2.82;-2.58;3.44;-3.376291362;-3.766235766;0.389944404;0.01
201501;-5.77;-3.36;2.1;1.37;-4.370930132;-9.24850364;4.877573508;0.01
201502;-0.07;0.78;-0.48;-4.09;1.394097402;1.860278507;-0.466181105;0.02
201503;6.96;0.87;1.12;-5.14;10.59377579;8.957619386;1.636156404;0.02
201504;0.92;0.68;3.26;-6.23;4.687882227;2.62364379;2.064238437;0.01
201505;1.78;-0.26;-1.81;1.94;1.165075231;2.446490873;-1.281415642;0.01
201506;-0.05;0.65;-1.49;4.21;2.271168551;-1.314586138;3.585754689;0.02
201507;3.95;2.65;-1.13;-3.05;6.746833518;5.333976774;1.412856744;0.02
201508;0.5;1.15;3.31;-3.09;-0.844851328;1.834971649;-2.679822977;0.02
201509;0.25;2.02;-1.48;-0.56;-0.493870775;-0.477902688;-0.015968087;0.02
201510;-2.02;-4.37;4.18;0.65;-1.491120222;-1.993082591;0.501962369;0.02
201511;4.86;5.49;8.27;-4.22;7.925402763;10.67975439;-2.754351627;0.01
201512;1.82;0.07;3.6;-0.36;1.978600689;0.844088964;1.134511725;0.03
201601;1.94;-1.02;-2.78;-0.97;1.622361861;0.70447037;0.917891491;0.04
201602;3.57;-2;-1.8;-1.66;2.823838377;-0.89686604;3.720704417;0.04
201603;0.17;1.19;-3.18;-0.92;-0.498874174;0.574910733;-1.073784907;0.03
201604;1.09;0.73;-1.9;0.53;0.74812865;3.218937563;-2.470808913;0.05
201605;1.06;-2.55;-3.78;1.47;0.150107704;1.716364961;-1.566257257;0.06
201606;0.78;2.16;1.32;-0.25;2.336460149;3.855113661;-1.518653512;0.06
201607;1.87;-1.4;-0.28;1.63;2.029042116;2.027532805;0.001509311;0.07
201608;0.16;-1.69;-2.24;3.57;0.192276207;-1.240165856;1.432442063;0.09
201609;2.51;4.54;3.03;-1.2;4.92815073;5.417040501;-0.488889771;0.09
201610;2.25;-1.94;-0.06;4.3;1.038414615;-0.214463229;1.252877844;0.09
201611;3.12;-0.66;-0.05;-0.75;3.13089376;4.441860896;-1.310967136;0.08
201612;1.06;-1.26;0.14;-1.6;2.28694093;0.355373013;1.931567917;0.09
2007;-44.19;5.88;2.4;18.88;-39.90100419;-40.4267946;0.52579041;1.58
2008;27.41;8.19;-2.68;-63.85;46.12780788;38.98752475;7.14028313;0.09
2009;17.9;12.7;-3.5;5.99;19.12109321;24.02069411;-4.8996009;0.1
2010;1.68;-4.89;-8.48;8.24;-1.684910169;-0.331216534;-1.353693635;0.04
2011;-15.7;0.67;-8.2;0.39;18.81317173;20.09174409;-1.27857236;-0.06
2012;30.86;5.53;1.4;5.8;30.56761476;36.91546392;-6.34784916;0
2013;11.48;-6.77;-1.69;1.7;16.02396557;2.895377517;13.12858805;0
2014;0.88;-3.78;-10.12;20.97;-8.918092431;-0.713439837;-8.204652594;0.01
2015;13.13;6.37;19.45;-18.57;29.56206372;21.54674928;8.01531444;0.21
2016;19.58;-3.9;-11.58;4.15;20.78774093;19.96010938;0.82763155;0.79
