T-1;DMR;MRP;SMB;HML;MOM;DMRR
201411;-0.279367735;2.55;-2.09;-2.99;1.05;-0.002793677
201412;-2.966145388;-0.06;2.54;2.06;1.06;-0.029661454
201501;-6.795509464;-3.11;-0.56;-3.47;3.87;-0.067955095
201502;1.32187956;6.13;0.48;-1.79;-2.84;0.013218796
201503;8.661623738;-1.12;3.02;-0.46;2.98;0.086616237
201504;3.727226219;0.59;-2.97;1.86;-7.37;0.037272262
201505;1.313020289;1.36;0.87;-1.37;6.01;0.013130203
201506;0.066912205;-1.53;2.83;-0.79;3.04;0.000669122
201507;5.105840393;1.54;-4.14;-4.12;10.28;0.051058404
201508;0.094181481;-6.04;0.48;2.68;-2.07;0.000941815
201509;-0.428130865;-3.08;-2.64;0.52;5.32;-0.004281309
201510;-2.251749847;7.75;-1.97;-0.08;-3.97;-0.022517498
201511;7.759694134;0.56;3.64;-0.52;2.28;0.077596941
201512;1.844806518;-2.17;-2.82;-2.58;3.44;0.018448065
201601;2.520807298;-5.77;-3.36;2.1;1.37;0.025208073
201602;2.634695529;-0.07;0.78;-0.48;-4.09;0.026346955
201603;-0.969018012;6.96;0.87;1.12;-5.14;-0.00969018
201604;1.134998382;0.92;0.68;3.26;-6.23;0.011349984
201605;0.597917126;1.78;-0.26;-1.81;1.94;0.005979171
201606;1.981499854;-0.05;0.65;-1.49;4.21;0.019814999
201607;1.428383079;3.95;2.65;-1.13;-3.05;0.014283831
201608;-0.688079394;0.5;1.15;3.31;-3.09;-0.006880794
201609;5.269845152;0.25;2.02;-1.48;-0.56;0.052698452
201610;0.705891056;-2.02;-4.37;4.18;0.65;0.007058911
201611;3.903452138;4.86;5.49;8.27;-4.22;0.039034521
201612;1.605575685;1.82;0.07;3.6;-0.36;0.016055757
2007;-48.02149545;1.4;-7.04;-14.49;21.2;-0.480214955
2008;41.02442635;-44.19;5.88;2.4;18.88;0.410244264
2009;18.75965102;27.41;8.19;-2.68;-63.85;0.18759651
2010;-0.994397686;17.9;12.7;-3.5;5.99;-0.009943977
2011;20.40655264;1.68;-4.89;-8.48;8.24;0.204065526
2012;32.52932115;15.7;-0.67;8.2;-0.39;0.325293212
2013;13.17919809;30.86;5.53;1.4;5.8;0.131791981
2014;-4.585449643;11.48;-6.77;-1.69;1.7;-0.045854496
2015;20.41979436;0.88;-3.78;-10.12;20.97;0.204197944
2016;20.12596789;13.13;6.37;19.45;-18.57;0.201259679
