T-1;DMR;MRP;SMB;HML;MOM
201610;0.705891056;-2.02;-4.37;4.18;0.65
201611;3.903452138;4.86;5.49;8.27;-4.22
201612;1.605575685;1.82;0.07;3.6;-0.36
2007;-48.02149545;1.4;-7.04;-14.49;21.2
2008;41.02442635;-44.19;5.88;2.4;18.88
2009;18.75965102;27.41;8.19;-2.68;-63.85
2010;-0.994397686;17.9;12.7;-3.5;5.99
2011;20.40655264;1.68;-4.89;-8.48;8.24
2012;32.52932115;15.7;-0.67;8.2;-0.39
2013;13.17919809;30.86;5.53;1.4;5.8
2014;-4.585449643;11.48;-6.77;-1.69;1.7
2015;20.41979436;0.88;-3.78;-10.12;20.97
2016;20.12596789;13.13;6.37;19.45;-18.57
