T-1;DMR;MRP;SMB;HML;MOM;DMRR
201302;4.738714522;1.29;-0.45;0.03;1.31;0.047387145
201303;-0.175123505;4.03;0.78;-0.29;1.94;-0.001751235
201304;-0.239068181;1.55;-2.42;0.63;0.25;-0.002390682
201305;1.195383831;2.8;1.67;2.6;-1.8;0.011953838
201306;4.5716225;-1.2;1.22;-0.18;0.59;0.045716225
201307;-3.99044862;5.65;1.86;0.56;1.74;-0.039904486
201308;4.520899619;-2.71;0.3;-2.78;0.05;0.045208996
201309;-5.602733354;3.77;2.93;-1.19;2.97;-0.056027334
201310;4.033335545;4.18;-1.49;1.14;0.16;0.040333355
201311;1.971138546;3.12;1.24;0.24;0.4;0.019711385
201312;-0.337622334;2.81;-0.5;-0.31;0.07;-0.003376223
201401;-2.558207205;-3.32;0.86;-2.09;1.72;-0.025582072
201402;5.565982781;4.65;0.32;-0.4;2.08;0.055659828
201403;-1.823164808;0.43;-1.89;5.08;-3.3;-0.018231648
201404;0.501557025;-0.19;-4.25;1.14;-3.85;0.00501557
201405;-0.182649181;2.06;-1.85;-0.27;1.15;-0.001826492
201406;-2.280011622;2.61;3.07;-0.74;0.68;-0.022800116
201407;-2.503554127;-2.04;-4.24;0.01;-0.24;-0.025035541
201408;-2.514621575;4.24;0.36;-0.58;0.82;-0.025146216
201409;-5.143699136;-1.97;-3.83;-1.23;0.53;-0.051436991
201410;5.658851256;2.52;4.23;-1.68;0;0.056588513
201411;1.968580558;2.55;-2.09;-2.99;1.05;0.019685806
201412;-3.504155435;-0.06;2.54;2.06;1.06;-0.035041554
201501;-7.832485462;-3.11;-0.56;-3.47;3.87;-0.078324855
201502;1.430996129;6.13;0.48;-1.79;-2.84;0.014309961
201503;9.505282032;-1.12;3.02;-0.46;2.98;0.09505282
201504;3.372004219;0.59;-2.97;1.86;-7.37;0.033720042
201505;1.686109454;1.36;0.87;-1.37;6.01;0.016861095
201506;1.118918805;-1.53;2.83;-0.79;3.04;0.011189188
201507;5.648906592;1.54;-4.14;-4.12;10.28;0.056489066
201508;1.209485493;-6.04;0.48;2.68;-2.07;0.012094855
201509;0.342252682;-3.08;-2.64;0.52;5.32;0.003422527
201510;-3.918755293;7.75;-1.97;-0.08;-3.97;-0.039187553
201511;9.679516286;0.56;3.64;-0.52;2.28;0.096795163
201512;1.469322476;-2.17;-2.82;-2.58;3.44;0.014693225
201601;0.240397458;-5.77;-3.36;2.1;1.37;0.002403975
201602;1.530196551;-0.07;0.78;-0.48;-4.09;0.015301966
201603;0.925672035;6.96;0.87;1.12;-5.14;0.00925672
201604;2.55016731;0.92;0.68;3.26;-6.23;0.025501673
201605;-0.316818133;1.78;-0.26;-1.81;1.94;-0.003168181
201606;3.446589983;-0.05;0.65;-1.49;4.21;0.0344659
201607;1.809736777;3.95;2.65;-1.13;-3.05;0.018097368
201608;-0.303473133;0.5;1.15;3.31;-3.09;-0.003034731
201609;7.006472067;0.25;2.02;-1.48;-0.56;0.070064721
201610;1.041346348;-2.02;-4.37;4.18;0.65;0.010413463
201611;3.772519139;4.86;5.49;8.27;-4.22;0.037725191
201612;-0.238389636;1.82;0.07;3.6;-0.36;-0.002383896
2007;-35.47343845;1.4;-7.04;-14.49;21.2;-0.354734385
2008;47.0847031;-44.19;5.88;2.4;18.88;0.470847031
2009;27.58967333;27.41;8.19;-2.68;-63.85;0.275896733
2010;1.082432749;17.9;12.7;-3.5;5.99;0.010824327
2011;19.24152031;1.68;-4.89;-8.48;8.24;0.192415203
2012;30.15613723;15.7;-0.67;8.2;-0.39;0.301561372
2013;9.153661002;30.86;5.53;1.4;5.8;0.09153661
2014;-6.81509147;11.48;-6.77;-1.69;1.7;-0.068150915
2015;23.71155341;0.88;-3.78;-10.12;20.97;0.237115534
2016;21.46441677;13.13;6.37;19.45;-18.57;0.214644168
