T-1;DMR;MRP;SMB;HML;MOM
201205;2.462667904;-6.19;0.02;-0.62;6.6
201206;-3.9988022;3.89;0.77;0.44;-1.12
201207;6.670990865;0.79;-2.59;-0.26;3.07
201208;-3.720436528;2.55;0.42;1.32;-2.49
201209;3.348862687;2.73;0.51;1.54;-1.02
201210;4.171457658;-1.76;-1.14;3.79;0.1
201211;1.930767915;0.78;0.58;-0.96;0.38
201212;2.329056401;1.18;1.47;3.56;-2.97
201301;-2.330838007;5.57;0.39;0.95;-1.88
201302;4.665047827;1.29;-0.45;0.03;1.31
201303;1.087636385;4.03;0.78;-0.29;1.94
201304;1.176330913;1.55;-2.42;0.63;0.25
201305;0.956971253;2.8;1.67;2.6;-1.8
201306;4.499399269;-1.2;1.22;-0.18;0.59
201307;-3.056582219;5.65;1.86;0.56;1.74
201308;4.472985699;-2.71;0.3;-2.78;0.05
201309;-5.020600882;3.77;2.93;-1.19;2.97
201310;2.792673662;4.18;-1.49;1.14;0.16
201311;2.496931309;3.12;1.24;0.24;0.4
201312;0.043691622;2.81;-0.5;-0.31;0.07
201401;-1.714052435;-3.32;0.86;-2.09;1.72
201402;4.006726556;4.65;0.32;-0.4;2.08
201403;-1.327435153;0.43;-1.89;5.08;-3.3
201404;-0.411729022;-0.19;-4.25;1.14;-3.85
201405;0.665960513;2.06;-1.85;-0.27;1.15
201406;-3.178604909;2.61;3.07;-0.74;0.68
201407;-2.430470616;-2.04;-4.24;0.01;-0.24
201408;-4.740207827;4.24;0.36;-0.58;0.82
201409;-4.941728432;-1.97;-3.83;-1.23;0.53
201410;6.860838864;2.52;4.23;-1.68;0
201411;-0.142306468;2.55;-2.09;-2.99;1.05
201412;-4.712027596;-0.06;2.54;2.06;1.06
201501;-5.388885376;-3.11;-0.56;-3.47;3.87
201502;1.508934458;6.13;0.48;-1.79;-2.84
201503;11.32029283;-1.12;3.02;-0.46;2.98
201504;4.204095193;0.59;-2.97;1.86;-7.37
201505;1.276297296;1.36;0.87;-1.37;6.01
201506;0.965628896;-1.53;2.83;-0.79;3.04
201507;5.269562853;1.54;-4.14;-4.12;10.28
201508;-0.520755693;-6.04;0.48;2.68;-2.07
201509;-0.353117584;-3.08;-2.64;0.52;5.32
201510;-3.585418112;7.75;-1.97;-0.08;-3.97
201511;7.931900026;0.56;3.64;-0.52;2.28
201512;2.051323908;-2.17;-2.82;-2.58;3.44
201601;1.622728347;-5.77;-3.36;2.1;1.37
201602;2.066474918;-0.07;0.78;-0.48;-4.09
201603;-0.669833507;6.96;0.87;1.12;-5.14
201604;0.902437967;0.92;0.68;3.26;-6.23
201605;-1.066474742;1.78;-0.26;-1.81;1.94
201606;3.480068703;-0.05;0.65;-1.49;4.21
201607;1.148280299;3.95;2.65;-1.13;-3.05
201608;-0.514714352;0.5;1.15;3.31;-3.09
201609;6.145363596;0.25;2.02;-1.48;-0.56
201610;1.621209662;-2.02;-4.37;4.18;0.65
201611;3.410440249;4.86;5.49;8.27;-4.22
201612;0.856131937;1.82;0.07;3.6;-0.36
2007;-34.73635121;1.4;-7.04;-14.49;21.2
2008;43.97145103;-44.19;5.88;2.4;18.88
2009;20.60514792;27.41;8.19;-2.68;-63.85
2010;0.202643253;17.9;12.7;-3.5;5.99
2011;16.84229834;1.68;-4.89;-8.48;8.24
2012;25.84766613;15.7;-0.67;8.2;-0.39
2013;11.78364683;30.86;5.53;1.4;5.8
2014;-12.06503653;11.48;-6.77;-1.69;1.7
2015;24.6798587;0.88;-3.78;-10.12;20.97
2016;19.00211308;13.13;6.37;19.45;-18.57
