Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
Interactive Brokers Group Inc;2011;2010;Investment Banking & Investment Services;27.15995441;22.21638655;41.44869215;16.03966316
Interactive Brokers Group Inc;2012;2011;Investment Banking & Investment Services;26.15112959;20.81346052;38.82755995;17.34678436
Interactive Brokers Group Inc;2013;2012;Investment Banking & Investment Services;24.1141716;19.19573139;38.62021688;12.71293748
Interactive Brokers Group Inc;2014;2013;Investment Banking & Investment Services;22.96167722;20.38162372;37.14934234;9.324290588
Interactive Brokers Group Inc;2015;2014;Investment Banking & Investment Services;26.12344487;20.59990663;45.34987704;9.902525476
Interactive Brokers Group Inc;2016;2015;Investment Banking & Investment Services;26.62767302;21.18595825;45.74738755;10.43975288
Interactive Brokers Group Inc;2017;2016;Investment Banking & Investment Services;25.80086211;20.96240863;43.61196766;10.46358905
International Speedway Corp;2009;2008;Hotels & Entertainment Services;20.15669014;20.31897266;25.98690736;13.1897945
International Speedway Corp;2010;2009;Hotels & Entertainment Services;20.43329613;24.84243697;25.22635815;9.939378415
International Speedway Corp;2011;2010;Hotels & Entertainment Services;24.04951874;36.21714643;24.46059335;10.00714203
International Speedway Corp;2012;2011;Hotels & Entertainment Services;25.10216783;35.75460487;29.11509461;8.55653636
International Speedway Corp;2013;2012;Hotels & Entertainment Services;23.22713697;34.63585434;26.12340711;7.138154007
International Speedway Corp;2014;2013;Hotels & Entertainment Services;24.11373585;36.02266595;27.31619072;7.110759757
International Speedway Corp;2015;2014;Hotels & Entertainment Services;26.72457984;34.70072239;26.58759575;17.99258275
International Speedway Corp;2016;2015;Hotels & Entertainment Services;32.79275287;43.78177197;27.62563033;26.5568906
Intrepid Potash Inc;2011;2010;Chemicals;21.91500304;21.71764706;31.12676056;11.41312472
Intrepid Potash Inc;2012;2011;Chemicals;25.74679487;20.6561086;34.31744312;21.44598571
Intrepid Potash Inc;2013;2012;Chemicals;26.13536015;19.60052678;34.76455749;23.37627256
Intrepid Potash Inc;2014;2013;Chemicals;24.19278305;18.24381927;30.13880384;23.90363651
Intrepid Potash Inc;2015;2014;Chemicals;22.26703831;17.92866083;22.9747278;26.27955825
Investors Bancorp Inc;2016;2015;Banking Services;29.6819445;28.33736234;34.12438099;26.01011821
IPG Photonics Corp;2012;2011;Machinery, Tools, Heavy Vehicles, Trains & Ships;23.2756887;13.98906296;33.17998443;22.10004203
IPG Photonics Corp;2013;2012;Machinery, Tools, Heavy Vehicles, Trains & Ships;23.80441083;13.04315696;30.63203341;27.85365771
IPG Photonics Corp;2014;2013;Machinery, Tools, Heavy Vehicles, Trains & Ships;20.38732985;12.29148376;26.11239577;22.74860614
IPG Photonics Corp;2015;2014;Machinery, Tools, Heavy Vehicles, Trains & Ships;20.60563873;11.022203;22.5041425;29.07907908
