T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
201401;-1.714052435;-3.32;0.86;-2.09;1.72;-3.594052435;1.88
201402;4.006726556;4.65;0.32;-0.4;2.08;2.026726556;1.98
201403;-1.327435153;0.43;-1.89;5.08;-3.3;-3.367435153;2.04
201404;-0.411729022;-0.19;-4.25;1.14;-3.85;-2.351729022;1.94
201405;0.665960513;2.06;-1.85;-0.27;1.15;-1.534039487;2.2
201406;-3.178604909;2.61;3.07;-0.74;0.68;-5.538604909;2.36
201407;-2.430470616;-2.04;-4.24;0.01;-0.24;-4.750470616;2.32
201408;-4.740207827;4.24;0.36;-0.58;0.82;-6.910207827;2.17
201409;-4.941728432;-1.97;-3.83;-1.23;0.53;-7.111728432;2.17
201410;6.860838864;2.52;4.23;-1.68;0;4.790838864;2.07
201411;-0.142306468;2.55;-2.09;-2.99;1.05;-2.402306468;2.26
201412;-4.712027596;-0.06;2.54;2.06;1.06;-6.952027596;2.24
201501;-5.388885376;-3.11;-0.56;-3.47;3.87;-7.478885376;2.09
201502;1.508934458;6.13;0.48;-1.79;-2.84;-0.271065542;1.78
201503;11.32029283;-1.12;3.02;-0.46;2.98;9.43029283;1.89
201504;4.204095193;0.59;-2.97;1.86;-7.37;2.394095193;1.81
201505;1.276297296;1.36;0.87;-1.37;6.01;-0.533702704;1.81
201506;0.965628896;-1.53;2.83;-0.79;3.04;-0.674371104;1.64
201507;5.269562853;1.54;-4.14;-4.12;10.28;3.769562853;1.5
201508;-0.520755693;-6.04;0.48;2.68;-2.07;-2.080755693;1.56
201509;-0.353117584;-3.08;-2.64;0.52;5.32;-1.983117584;1.63
201510;-3.585418112;7.75;-1.97;-0.08;-3.97;-5.345418112;1.76
201511;7.931900026;0.56;3.64;-0.52;2.28;5.791900026;2.14
201512;2.051323908;-2.17;-2.82;-2.58;3.44;-0.438676092;2.49
201601;1.622728347;-5.77;-3.36;2.1;1.37;-0.807271653;2.43
201602;2.066474918;-0.07;0.78;-0.48;-4.09;-0.353525082;2.42
201603;-0.669833507;6.96;0.87;1.12;-5.14;-3.149833507;2.48
201604;0.902437967;0.92;0.68;3.26;-6.23;-1.397562033;2.3
201605;-1.066474742;1.78;-0.26;-1.81;1.94;-3.366474742;2.3
201606;3.480068703;-0.05;0.65;-1.49;4.21;1.290068703;2.19
201607;1.148280299;3.95;2.65;-1.13;-3.05;-1.171719701;2.32
201608;-0.514714352;0.5;1.15;3.31;-3.09;-2.724714352;2.21
201609;6.145363596;0.25;2.02;-1.48;-0.56;3.945363596;2.2
201610;1.621209662;-2.02;-4.37;4.18;0.65;-0.738790338;2.36
201611;3.410440249;4.86;5.49;8.27;-4.22;1.060440249;2.35
