T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
201401;-2.859335133;-3.32;0.86;-2.09;1.72;-4.739335133;1.88
201402;5.382632703;4.65;0.32;-0.4;2.08;3.402632703;1.98
201403;-0.647600448;0.43;-1.89;5.08;-3.3;-2.687600448;2.04
201404;-0.602530659;-0.19;-4.25;1.14;-3.85;-2.542530659;1.94
201405;1.573067588;2.06;-1.85;-0.27;1.15;-0.626932412;2.2
201406;-2.285760169;2.61;3.07;-0.74;0.68;-4.645760169;2.36
201407;-0.066206611;-2.04;-4.24;0.01;-0.24;-2.386206611;2.32
201408;-6.136807955;4.24;0.36;-0.58;0.82;-8.306807955;2.17
201409;-3.621281486;-1.97;-3.83;-1.23;0.53;-5.791281486;2.17
201410;7.437280676;2.52;4.23;-1.68;0;5.367280676;2.07
201411;0.928603936;2.55;-2.09;-2.99;1.05;-1.331396064;2.26
201412;-2.212684095;-0.06;2.54;2.06;1.06;-4.452684095;2.24
201501;-6.139272069;-3.11;-0.56;-3.47;3.87;-8.229272069;2.09
201502;0.278743602;6.13;0.48;-1.79;-2.84;-1.501256398;1.78
201503;9.163231027;-1.12;3.02;-0.46;2.98;7.273231027;1.89
201504;3.495141313;0.59;-2.97;1.86;-7.37;1.685141313;1.81
201505;1.243150786;1.36;0.87;-1.37;6.01;-0.566849214;1.81
201506;0.536794321;-1.53;2.83;-0.79;3.04;-1.103205679;1.64
201507;4.999442334;1.54;-4.14;-4.12;10.28;3.499442334;1.5
201508;0.454048199;-6.04;0.48;2.68;-2.07;-1.105951801;1.56
201509;-0.563891219;-3.08;-2.64;0.52;5.32;-2.193891219;1.63
201510;-0.689748188;7.75;-1.97;-0.08;-3.97;-2.449748188;1.76
201511;6.839800135;0.56;3.64;-0.52;2.28;4.699800135;2.14
201512;2.704453553;-2.17;-2.82;-2.58;3.44;0.214453553;2.49
201601;2.273933474;-5.77;-3.36;2.1;1.37;-0.156066526;2.43
201602;3.111407779;-0.07;0.78;-0.48;-4.09;0.691407779;2.42
201603;-0.731297299;6.96;0.87;1.12;-5.14;-3.211297299;2.48
201604;0.959735171;0.92;0.68;3.26;-6.23;-1.340264829;2.3
201605;0.925558331;1.78;-0.26;-1.81;1.94;-1.374441669;2.3
201606;1.578367539;-0.05;0.65;-1.49;4.21;-0.611632461;2.19
201607;1.667357533;3.95;2.65;-1.13;-3.05;-0.652642467;2.32
201608;0.205658538;0.5;1.15;3.31;-3.09;-2.004341462;2.21
201609;4.839121209;0.25;2.02;-1.48;-0.56;2.639121209;2.2
201610;1.247068077;-2.02;-4.37;4.18;0.65;-1.112931923;2.36
201611;3.812456053;4.86;5.49;8.27;-4.22;1.462456053;2.35
201612;1.639652216;1.82;0.07;3.6;-0.36;-0.760347784;2.4
2007;-46.95292038;1.4;-7.04;-14.49;21.2;-90.95292038;44
2008;41.5588286;-44.19;5.88;2.4;18.88;-1.2211714;42.78
2009;19.09776284;27.41;8.19;-2.68;-63.85;-22.81223716;41.91
2010;-2.456788469;17.9;12.7;-3.5;5.99;-43.67678847;41.22
2011;19.09736656;1.68;-4.89;-8.48;8.24;-21.37263344;40.47
2012;30.68889436;15.7;-0.67;8.2;-0.39;-9.19110564;39.88
2013;16.21227936;30.86;5.53;1.4;5.8;-23.28772064;39.5
2014;-3.110621654;11.48;-6.77;-1.69;1.7;-42.16062165;39.05
2015;22.32189379;0.88;-3.78;-10.12;20.97;-16.42810621;38.75
2016;21.52901862;13.13;6.37;19.45;-18.57;-16.93098138;38.46
