T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200903;7.394846862;8.95;-0.08;3.52;-11.38;3.664846862;3.73
200904;5.513019032;10.19;4.83;5.46;-34.39;1.663019032;3.85
200905;-6.30416711;5.21;-2.33;-0.21;-12.44;-9.72416711;3.42
200906;-7.0492895;0.43;2.61;-2.71;5.29;-10.2492895;3.2
200907;6.959436052;7.72;2.07;5.27;-5.36;3.949436052;3.01
200908;-6.101261914;3.33;-0.9;7.76;-8.84;-8.801261914;2.7
200909;10.85811126;4.08;2.45;0.92;-4.93;8.20811126;2.65
200910;2.441646039;-2.59;-4.23;-4.18;2.65;-0.098353961;2.54
200911;2.219899056;5.56;-2.49;-0.17;0.29;-0.540100944;2.76
200912;9.611043013;2.75;6.11;0.01;2.91;6.321043013;3.29
201001;2.511748762;-3.36;0.38;0.31;-5.38;-0.878251238;3.39
201002;5.894932902;3.4;1.21;3.17;3.6;2.314932902;3.58
201003;1.857234747;6.31;1.43;2.1;3.66;-1.552765253;3.41
201004;3.199971194;2;4.98;2.81;3.22;-0.260028806;3.46
201005;-1.008619297;-7.89;0.05;-2.38;-0.13;-4.178619297;3.17
201006;-2.065409276;-5.56;-1.98;-4.5;-3;-5.065409276;3
201007;-3.869685918;6.93;0.17;-0.26;1.88;-6.869685918;3
201008;-6.715763279;-4.77;-3;-1.96;-0.19;-9.015763279;2.3
201009;-10.44309545;9.54;3.92;-3.12;1.35;-12.42309545;1.98
201010;13.95037526;3.88;1.14;-2.59;1.64;11.80037526;2.15
201011;-3.603609333;0.6;3.71;-0.9;2.53;-5.613609333;2.01
201012;1.852816583;6.82;0.69;3.82;-3.19;-0.127183417;1.98
201101;8.59407738;1.99;-2.46;0.83;-0.32;6.62407738;1.97
201102;3.800540174;3.49;1.52;1.08;2.03;1.830540174;1.97
201103;2.033007608;0.45;2.6;-1.57;3.51;-0.136992392;2.17
201104;0.015281992;2.9;-0.35;-2.53;0.07;-2.034718008;2.05
201105;-7.769879413;-1.27;-0.71;-2.07;-0.56;-9.569879413;1.8
201106;2.769109195;-1.75;-0.17;-0.33;1.78;1.149109195;1.62
201107;-0.608591914;-2.36;-1.3;-1.23;0.08;-2.138591914;1.53
201108;2.092057762;-5.99;-3.06;-2.44;-0.31;0.412057762;1.68
201109;3.913776078;-7.59;-3.49;-1.46;-2.55;2.193776078;1.72
201110;-0.730063249;11.35;3.41;-0.17;-1.42;-2.480063249;1.75
201111;3.300625828;-0.28;-0.17;-0.34;3.99;1.650625828;1.65
201112;2.310021159;0.74;-0.71;1.75;1.94;0.590021159;1.72
