T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
201401;-1.731075499;-3.32;0.86;-2.09;1.72;-3.611075499;1.88
201402;4.276363202;4.65;0.32;-0.4;2.08;2.296363202;1.98
201403;-0.825970536;0.43;-1.89;5.08;-3.3;-2.865970536;2.04
201404;-1.357934737;-0.19;-4.25;1.14;-3.85;-3.297934737;1.94
201405;1.078175442;2.06;-1.85;-0.27;1.15;-1.121824558;2.2
201406;-3.925949798;2.61;3.07;-0.74;0.68;-6.285949798;2.36
201407;-1.849766568;-2.04;-4.24;0.01;-0.24;-4.169766568;2.32
201408;-5.767127966;4.24;0.36;-0.58;0.82;-7.937127966;2.17
201409;-3.669852088;-1.97;-3.83;-1.23;0.53;-5.839852088;2.17
201410;7.55023319;2.52;4.23;-1.68;0;5.48023319;2.07
201411;0.681104289;2.55;-2.09;-2.99;1.05;-1.578895711;2.26
201412;-3.366291362;-0.06;2.54;2.06;1.06;-5.606291362;2.24
201501;-4.360930132;-3.11;-0.56;-3.47;3.87;-6.450930132;2.09
201502;1.414097402;6.13;0.48;-1.79;-2.84;-0.365902598;1.78
201503;10.61377579;-1.12;3.02;-0.46;2.98;8.72377579;1.89
201504;4.697882227;0.59;-2.97;1.86;-7.37;2.887882227;1.81
201505;1.175075231;1.36;0.87;-1.37;6.01;-0.634924769;1.81
201506;2.291168551;-1.53;2.83;-0.79;3.04;0.651168551;1.64
201507;6.766833518;1.54;-4.14;-4.12;10.28;5.266833518;1.5
201508;-0.824851328;-6.04;0.48;2.68;-2.07;-2.384851328;1.56
201509;-0.473870775;-3.08;-2.64;0.52;5.32;-2.103870775;1.63
201510;-1.471120222;7.75;-1.97;-0.08;-3.97;-3.231120222;1.76
201511;7.935402763;0.56;3.64;-0.52;2.28;5.795402763;2.14
201512;2.008600689;-2.17;-2.82;-2.58;3.44;-0.481399311;2.49
201601;1.662361861;-5.77;-3.36;2.1;1.37;-0.767638139;2.43
201602;2.863838377;-0.07;0.78;-0.48;-4.09;0.443838377;2.42
201603;-0.468874174;6.96;0.87;1.12;-5.14;-2.948874174;2.48
201604;0.79812865;0.92;0.68;3.26;-6.23;-1.50187135;2.3
201605;0.210107704;1.78;-0.26;-1.81;1.94;-2.089892296;2.3
201606;2.396460149;-0.05;0.65;-1.49;4.21;0.206460149;2.19
201607;2.099042116;3.95;2.65;-1.13;-3.05;-0.220957884;2.32
201608;0.282276207;0.5;1.15;3.31;-3.09;-1.927723793;2.21
201609;5.01815073;0.25;2.02;-1.48;-0.56;2.81815073;2.2
201610;1.128414615;-2.02;-4.37;4.18;0.65;-1.231585385;2.36
201611;3.21089376;4.86;5.49;8.27;-4.22;0.86089376;2.35
201612;2.37694093;1.82;0.07;3.6;-0.36;-0.02305907;2.4
2007;-38.32100419;1.4;-7.04;-14.49;21.2;-82.32100419;44
2008;46.21780788;-44.19;5.88;2.4;18.88;3.43780788;42.78
2009;19.22109321;27.41;8.19;-2.68;-63.85;-22.68890679;41.91
2010;-1.644910169;17.9;12.7;-3.5;5.99;-42.86491017;41.22
2011;18.75317173;1.68;-4.89;-8.48;8.24;-21.71682827;40.47
2012;30.56761476;15.7;-0.67;8.2;-0.39;-9.31238524;39.88
2013;16.02396557;30.86;5.53;1.4;5.8;-23.47603443;39.5
2014;-8.908092431;11.48;-6.77;-1.69;1.7;-47.95809243;39.05
2015;29.77206372;0.88;-3.78;-10.12;20.97;-8.97793628;38.75
2016;21.57774093;13.13;6.37;19.45;-18.57;-16.88225907;38.46
