T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
201302;4.65;0.32;-0.4;2.08;4.310095498;4.738714522;-0.428619024;0
201303;0.43;-1.89;5.08;-3.3;0.830040104;-0.175123505;1.005163609;0
201304;-0.19;-4.25;1.14;-3.85;0.988411826;-0.239068181;1.227480007;0
201305;2.06;-1.85;-0.27;1.15;2.035211548;1.195383831;0.839827717;0
201306;2.61;3.07;-0.74;0.68;2.675789327;4.5716225;-1.895833173;0
201307;-2.04;-4.24;0.01;-0.24;-2.110958343;-3.99044862;1.879490277;0
201308;4.24;0.36;-0.58;0.82;4.430862744;4.520899619;-0.090036875;0
201309;-1.97;-3.83;-1.23;0.53;-3.524978638;-5.602733354;2.077754716;0
201310;2.52;4.23;-1.68;0;2.195964963;4.033335545;-1.837370582;0
201311;2.55;-2.09;-2.99;1.05;4.405555958;1.971138546;2.434417412;0
201312;-0.06;2.54;2.06;1.06;0.228162107;-0.337622334;0.565784441;0
201401;-3.11;-0.56;-3.47;3.87;-2.637877769;-2.558207205;-0.079670564;0
201402;6.13;0.48;-1.79;-2.84;5.875847362;5.565982781;0.309864581;0
201403;-1.12;3.02;-0.46;2.98;-1.084440539;-1.823164808;0.738724269;0
201404;0.59;-2.97;1.86;-7.37;-0.222083019;0.501557025;-0.723640044;0
201405;1.36;0.87;-1.37;6.01;1.26841084;-0.182649181;1.451060021;0
201406;-1.53;2.83;-0.79;3.04;-2.130444868;-2.280011622;0.149566754;0
201407;1.54;-4.14;-4.12;10.28;-0.573388646;-2.503554127;1.930165481;0
201408;-6.04;0.48;2.68;-2.07;-5.559788804;-2.514621575;-3.045167229;0
201409;-3.08;-2.64;0.52;5.32;-3.849472221;-5.143699136;1.294226915;0
201410;7.75;-1.97;-0.08;-3.97;7.573301144;5.658851256;1.914449888;0
201411;0.56;3.64;-0.52;2.28;-0.279367735;1.968580558;-2.247948293;0
201412;-2.17;-2.82;-2.58;3.44;-2.976145388;-3.514155435;0.538010047;0.01
201501;-5.77;-3.36;2.1;1.37;-6.805509464;-7.842485462;1.036975998;0.01
201502;-0.07;0.78;-0.48;-4.09;1.30187956;1.410996129;-0.109116569;0.02
201503;6.96;0.87;1.12;-5.14;8.641623738;9.485282032;-0.843658294;0.02
201504;0.92;0.68;3.26;-6.23;3.717226219;3.362004219;0.355222;0.01
201505;1.78;-0.26;-1.81;1.94;1.303020289;1.676109454;-0.373089165;0.01
201506;-0.05;0.65;-1.49;4.21;0.046912205;1.098918805;-1.0520066;0.02
201507;3.95;2.65;-1.13;-3.05;5.085840393;5.628906592;-0.543066199;0.02
201508;0.5;1.15;3.31;-3.09;0.074181481;1.189485493;-1.115304012;0.02
201509;0.25;2.02;-1.48;-0.56;-0.448130865;0.322252682;-0.770383547;0.02
201510;-2.02;-4.37;4.18;0.65;-2.271749847;-3.938755293;1.667005446;0.02
201511;4.86;5.49;8.27;-4.22;7.749694134;9.669516286;-1.919822152;0.01
201512;1.82;0.07;3.6;-0.36;1.814806518;1.439322476;0.375484042;0.03
201601;1.94;-1.02;-2.78;-0.97;2.480807298;0.200397458;2.28040984;0.04
201602;3.57;-2;-1.8;-1.66;2.594695529;1.490196551;1.104498978;0.04
201603;0.17;1.19;-3.18;-0.92;-0.999018012;0.895672035;-1.894690047;0.03
201604;1.09;0.73;-1.9;0.53;1.084998382;2.50016731;-1.415168928;0.05
201605;1.06;-2.55;-3.78;1.47;0.537917126;-0.376818133;0.914735259;0.06
201606;0.78;2.16;1.32;-0.25;1.921499854;3.386589983;-1.465090129;0.06
201607;1.87;-1.4;-0.28;1.63;1.358383079;1.739736777;-0.381353698;0.07
201608;0.16;-1.69;-2.24;3.57;-0.778079394;-0.393473133;-0.384606261;0.09
201609;2.51;4.54;3.03;-1.2;5.179845152;6.916472067;-1.736626915;0.09
201610;2.25;-1.94;-0.06;4.3;0.615891056;0.951346348;-0.335455292;0.09
