ID;Name;Year;E-Score-1;S-Score-1;G-Score-1;TRYear
33;Activision Blizzard Inc;2014;16,70833333;13,83333333;18,75253807;21,11403979
33;Activision Blizzard Inc;2015;16,94230769;13,25;16,77602603;67,54555225
33;Activision Blizzard Inc;2016;18,578125;17,8515625;21,33545994;-4,085942389
33;Activision Blizzard Inc;2017;17,56944444;19,34027778;17,40122933;61,13450275
37;Acushnet Holdings Corp;2017;10,08333333;18,36805556;9,792920729;16,08695437
38;Acxiom Corp;2012;7,673267327;14,27970297;16,93880208;37,51097822
43;ADTRAN Inc;2017;21,9375;18,16875;21,92857143;-11,08132073
44;Aduro Biotech Inc;2017;17,14156627;14,34186747;13,73823654;-26,94591889
45;Advance Auto Parts Inc;2008;17,68115942;11,97101449;8,363839286;12,55648093
45;Advance Auto Parts Inc;2009;17,68115942;11,97101449;8,363839286;13,63681962
45;Advance Auto Parts Inc;2010;16,07051282;18,47115385;14,15669014;51,0671356
45;Advance Auto Parts Inc;2012;16,79166667;15,27314815;19,01897436;15,18701761
45;Advance Auto Parts Inc;2013;14,61061947;15,19911504;17,15653965;40,76833049
45;Advance Auto Parts Inc;2014;13,87288136;18,35169492;14,1677665;41,0730676
45;Advance Auto Parts Inc;2015;13,87288136;18,35169492;14,1677665;-4,458153746
45;Advance Auto Parts Inc;2016;14,30578512;14,12809917;10,31256256;11,65254136
45;Advance Auto Parts Inc;2017;19,59393939;16,26363636;8,699236965;-45,22700366
46;Advanced Disposal Services Inc;2017;10,58189655;14,14331897;7,176345909;11,71753593
47;Advanced Drainage Systems Inc;2017;8,49;16,2575;13,51314116;27,55992355
48;Advanced Energy Industries Inc;2016;12,37931034;8,088362069;8,563501484;72,13685003
48;Advanced Energy Industries Inc;2017;12,81451613;13,76008065;9,589868588;17,58028643
49;Advanced Micro Devices Inc;2008;28,54901961;29,57352941;9,892485119;-91,10793069
49;Advanced Micro Devices Inc;2009;25,19166667;29,77083333;11,29782864;170,3063957
49;Advanced Micro Devices Inc;2010;25,05882353;29,24632353;12,740625;-12,49607406
49;Advanced Micro Devices Inc;2011;25,046875;31,6484375;22,21048632;-28,90821195
49;Advanced Micro Devices Inc;2012;26,12903226;31,1344086;17,89692308;-61,54002451
49;Advanced Micro Devices Inc;2013;25,03723404;26,07712766;21,12590113;52,326911
49;Advanced Micro Devices Inc;2014;25,51052632;28,09736842;24,16319797;-29,51258737
49;Advanced Micro Devices Inc;2015;26,24742268;29;20,17692693;13,88984423
49;Advanced Micro Devices Inc;2016;27,17672414;29,72198276;28,41290801;160,9475424
49;Advanced Micro Devices Inc;2017;27,72177419;29,57258065;24,52840187;4,375535523
50;AdvanSix Inc;2017;5,171270718;20,25414365;21,98304366;76,17478104
52;Aegion Corp;2017;3,015306122;9,109693878;14,02395083;14,04097476
53;Aerie Pharmaceuticals Inc;2016;14,91477273;15,61079545;16,20133531;94,46849315
53;Aerie Pharmaceuticals Inc;2017;15,5873494;16,26957831;14,31432811;60,63331753
54;Aerojet Rocketdyne Holdings Inc;2016;6,675;7,325;10,19777448;16,41317562
54;Aerojet Rocketdyne Holdings Inc;2017;7,904761905;9,011904762;12,65854175;65,45277142
55;AeroVironment Inc;2017;15,82539683;18,18650794;16,47626113;92,58019555
57;Aetna Inc;2008;18,95238095;30,6;26,69568452;-60,62228977
57;Aetna Inc;2009;23,31496063;27,89173228;20,24325117;14,32200123
57;Aetna Inc;2010;24,72627737;26,12043796;24,66666667;-0,903235644
57;Aetna Inc;2011;24,84768212;25,66556291;19,26317123;34,27423147
57;Aetna Inc;2012;24,35333333;23,59833333;25,7074359;11,60370455
57;Aetna Inc;2013;23,26315789;23,24506579;24,24510814;37,98307851
57;Aetna Inc;2014;22,92993631;24,30095541;25,06954315;31,01652805
57;Aetna Inc;2015;18,15432099;22,40740741;27,70995996;18,86522054
57;Aetna Inc;2016;19,09259259;26,52248677;24,82047478;16,52729394
57;Aetna Inc;2017;21,07042254;24,01408451;28,9245443;41,05457949
58;Affiliated Managers Group Inc;2009;10,43604651;11,65988372;17,14260563;55,57115325
58;Affiliated Managers Group Inc;2010;8,405263158;9,868421053;19,76927083;44,52154247
58;Affiliated Managers Group Inc;2011;6,160714286;11,96428571;16,7147923;-2,042350057
58;Affiliated Managers Group Inc;2012;5,563063063;11,2972973;11,93589744;32,47540881
58;Affiliated Managers Group Inc;2013;5,35840708;10,73672566;16,72193615;49,5768386
58;Affiliated Managers Group Inc;2014;5,838842975;10,90702479;16,43071066;5,273649242
58;Affiliated Managers Group Inc;2015;5,765873016;13,46428571;17,98423423;-27,75558878
58;Affiliated Managers Group Inc;2016;6,041935484;11,0016129;17,46602374;-8,663421714
58;Affiliated Managers Group Inc;2017;5,99112426;10,96153846;19,71746503;46,38281265
59;Aflac Inc;2008;18,64761905;29,23809524;7,113095238;-22,18782104
59;Aflac Inc;2009;18,71259843;28,69488189;9,450117371;53,52725163
59;Aflac Inc;2010;22,98540146;29,82846715;11,62760417;27,63084532
59;Aflac Inc;2011;23,61589404;30,63907285;9,492654509;-16,59855882
59;Aflac Inc;2012;25,48;30,425;10,13;25,74596188
59;Aflac Inc;2013;24,72697368;29,61677632;11,503862;25,14512325
59;Aflac Inc;2014;25,01273885;30,11624204;11,26269036;-5,282210543
59;Aflac Inc;2015;25,60493827;30,40740741;9,678178178;1,512458483
59;Aflac Inc;2016;25,50793651;26,68915344;11,89540059;17,83154755
59;Aflac Inc;2017;24,87089202;26,89906103;12,53274693;26,66673692
60;AG Mortgage Investment Trust Inc;2017;13,40697674;20,32906977;11,04980924;22,63693838
61;AGCO Corp;2008;6,987704918;9,913934426;12,11309524;-82,56092683
61;AGCO Corp;2009;10,19858156;13,29255319;9,52758216;36,04209897
61;AGCO Corp;2010;9,782608696;12,77484472;6,687760417;51,86953508
61;AGCO Corp;2011;13,89540816;9,422193878;10,7147923;-9,436480957
61;AGCO Corp;2012;16,1959799;14,77763819;13,9625641;7,486686706
61;AGCO Corp;2013;22;15,03015075;18,60787848;20,0147044
61;AGCO Corp;2014;23,2761194;15,46641791;19,62411168;-21,69667228
61;AGCO Corp;2015;22,52696078;12,94485294;23,43443443;5,158883728
61;AGCO Corp;2016;20,11157025;13,05578512;25,73724036;25,58104623
61;AGCO Corp;2017;20,9692029;14,13858696;25,49777448;19,78022934
63;Agios Pharmaceuticals Inc;2016;15,73295455;11,69034091;16,4351632;-0,499694352
63;Agios Pharmaceuticals Inc;2017;16,49096386;12,7996988;19,53645613;43,24046013
64;AGNC Investment Corp;2011;8,081125828;11,5455298;5,343211753;17,69115389
64;AGNC Investment Corp;2012;7,569354839;10,9983871;5,194358974;24,62688175
64;AGNC Investment Corp;2013;6,929936306;10,50796178;6,503604531;-23,09732666
64;AGNC Investment Corp;2014;6,847352025;10,52102804;6,802284264;28,40531236
64;AGNC Investment Corp;2015;7,092537313;10,0261194;5,462712713;-10,96570123
64;AGNC Investment Corp;2016;8,434931507;9,916666667;5,611424332;18,33807302
64;AGNC Investment Corp;2017;10,05208333;14,58767361;11,25582874;22,23139407
66;Aimmune Therapeutics Inc;2017;9,582568807;6,981651376;16,52373887;82,98604792
67;Air Lease Corp;2012;12,75555556;8,516666667;12,05794872;-9,92398411
67;Air Lease Corp;2013;11,84375;7,510416667;14,36457261;41,80060971
67;Air Lease Corp;2014;10,92857143;7,147959184;14,55253807;17,91000376
67;Air Lease Corp;2015;9,336734694;6,602040816;16,19744745;-1,440998787
67;Air Lease Corp;2016;10;7,586065574;15,34436202;11,80937503
67;Air Lease Corp;2017;8,643939394;6,049242424;18,93026706;38,34026218
69;Air Transport Services Group Inc;2017;4,710526316;8,276315789;8,83064858;43,44894009
70;Aircastle Ltd;2016;10,625;7,583333333;12,13636364;10,58069603
70;Aircastle Ltd;2017;11,55555556;6,757936508;12,23019802;19,18634372
71;AK Steel Holding Corp;2009;9,556603774;12,97327044;18,84330986;111,7971635
71;AK Steel Holding Corp;2010;10,21356784;13,57160804;17,6984375;-13,75908008
71;AK Steel Holding Corp;2011;18,20108696;16,52536232;24,22112462;-63,78216335
71;AK Steel Holding Corp;2012;18,15070922;13,54787234;22,62025641;-54,38342162
71;AK Steel Holding Corp;2013;24,30204778;22,78071672;22,3099897;69,91032785
