T-1;DMR;MRP;SMB;HML;MOM;DMRR
201411;-0.524997235;2.55;-2.09;-2.99;1.05;-0.005249972
201412;-4.122620495;-0.06;2.54;2.06;1.06;-0.041226205
201501;-10.45944803;-3.11;-0.56;-3.47;3.87;-0.10459448
201502;2.040159669;6.13;0.48;-1.79;-2.84;0.020401597
201503;8.371881365;-1.12;3.02;-0.46;2.98;0.083718814
201504;3.187230006;0.59;-2.97;1.86;-7.37;0.0318723
201505;3.209997835;1.36;0.87;-1.37;6.01;0.032099978
201506;-0.94304173;-1.53;2.83;-0.79;3.04;-0.009430417
201507;7.288495955;1.54;-4.14;-4.12;10.28;0.07288496
201508;1.256244444;-6.04;0.48;2.68;-2.07;0.012562444
201509;1.480959547;-3.08;-2.64;0.52;5.32;0.014809595
201510;-3.639614929;7.75;-1.97;-0.08;-3.97;-0.036396149
201511;7.856833591;0.56;3.64;-0.52;2.28;0.078568336
201512;0.517793052;-2.17;-2.82;-2.58;3.44;0.005177931
201601;1.208049237;-5.77;-3.36;2.1;1.37;0.012080492
201602;1.571436704;-0.07;0.78;-0.48;-4.09;0.015714367
201603;0.566117124;6.96;0.87;1.12;-5.14;0.005661171
201604;1.696115239;0.92;0.68;3.26;-6.23;0.016961152
201605;-0.422739953;1.78;-0.26;-1.81;1.94;-0.0042274
201606;4.296431177;-0.05;0.65;-1.49;4.21;0.042964312
201607;0.828276967;3.95;2.65;-1.13;-3.05;0.00828277
201608;-0.551435864;0.5;1.15;3.31;-3.09;-0.005514359
201609;6.323795601;0.25;2.02;-1.48;-0.56;0.063237956
201610;0.222675558;-2.02;-4.37;4.18;0.65;0.002226756
201611;3.189511293;4.86;5.49;8.27;-4.22;0.031895113
201612;0.586092267;1.82;0.07;3.6;-0.36;0.005860923
2007;-48.76786239;1.4;-7.04;-14.49;21.2;-0.487678624
2008;61.46673812;-44.19;5.88;2.4;18.88;0.614667381
2009;26.2290942;27.41;8.19;-2.68;-63.85;0.262290942
2010;-2.192795996;17.9;12.7;-3.5;5.99;-0.02192796
2011;21.16749997;1.68;-4.89;-8.48;8.24;0.211675
2012;38.90624878;15.7;-0.67;8.2;-0.39;0.389062488
2013;8.429350929;30.86;5.53;1.4;5.8;0.084293509
2014;-6.928109727;11.48;-6.77;-1.69;1.7;-0.069281097
2015;20.16749077;0.88;-3.78;-10.12;20.97;0.201674908
2016;19.51432535;13.13;6.37;19.45;-18.57;0.195143254
